Time,Time Code,Country Name,Country Code,GDP per capita (current US$) [NY.GDP.PCAP.CD],GDP (current US$) [NY.GDP.MKTP.CD],"GDP per capita, PPP (current international $) [NY.GDP.PCAP.PP.CD]","GDP, PPP (current international $) [NY.GDP.MKTP.PP.CD]",Gini index [SI.POV.GINI],Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population) [SI.POV.DDAY],"Unemployment, total (% of total labor force) (modeled ILO estimate) [SL.UEM.TOTL.ZS]",CO2 emissions (kt) [EN.ATM.CO2E.KT],CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC]
2010-12-31,YR2010,China,CHN,4550.4531077571,6087163874512.21,9254.77960343715,12380164949415.9,43.7,13.9,4.53,8474923,6.33541999170221
2010-12-31,YR2010,United States,USA,48650.6431283336,15048964444000,48650.6431283336,15048964444000,40,1,9.63,5392112,17.4317453932583
2010-12-31,YR2010,United Kingdom,GBR,39693.1938701237,2491397494467.95,36574.7115625993,2295661695707.83,33.7,0.2,7.79,482441.2,7.68630141318523
2010-12-31,YR2010,Sweden,SWE,52869.0442891587,495812558843.31,42221.7581999992,395960968341.126,27.7,0.5,8.61,48130.9,5.13225136877026
2010-12-31,YR2010,Spain,ESP,30532.4805081656,1422108199783.34,31681.1005508478,1475607357203.48,35.2,0.7,19.86,273254.2,5.86673259921115
2011-12-31,YR2011,China,CHN,5614.35213522574,7551500124203.36,10292.9404780759,13844365195928.9,42.4,10.2,4.55,9282554,6.9013475485768
2011-12-31,YR2011,United States,USA,50065.9665041742,15599728123000,50065.9665041742,15599728123000,40.9,1,8.95,5173595,16.6042018126115
2011-12-31,YR2011,United Kingdom,GBR,42150.6981408821,2666403005061.42,37379.2909657729,2364569465138.54,33.2,0.2,8.04,445591.6,7.04394534136826
2011-12-31,YR2011,Sweden,SWE,60755.7595508465,574094112972.733,44608.5802614915,421515976518.429,27.6,0.6,7.8,44578.2,4.71766273021891
2011-12-31,YR2011,Spain,ESP,31677.9003083652,1480710495710.12,31867.9732396862,1489595017146.76,35.7,1.1,21.39,274396.8,5.87036730037208
2012-12-31,YR2012,China,CHN,6300.61511825789,8532229986993.65,11168.6972979775,15124538193948.2,42.2,8.5,4.58,9541867,7.04618037350741
2012-12-31,YR2012,United States,USA,51784.4185738837,16253972230000,51784.4185738837,16253972230000,40.9,1,8.07,4956058,15.7897760816123
2012-12-31,YR2012,United Kingdom,GBR,42485.5860695397,2706340967030.68,38514.0261691783,2453351747492.28,33.1,0.2,7.88,467780.3,7.34346501028293
2012-12-31,YR2012,Sweden,SWE,58037.8213192173,552483727282.802,45432.4319692761,432488311645.095,27.6,0.5,7.98,42138.6,4.42661460722102
2012-12-31,YR2012,Spain,ESP,28322.9465923276,1324750738725,31720.1199986535,1483646917303.62,35.4,0.9,24.79,269265.6,5.75685295732767
2013-12-31,YR2013,China,CHN,7020.33848453658,9570406235659.64,11872.4973811617,16185063329894.8,39.7,2.9,4.6,9984572,7.32414835245445
2013-12-31,YR2013,United States,USA,53291.1276891406,16843190993000,53291.1276891406,16843190993000,40.7,1,7.37,5092102,16.1111904508419
2013-12-31,YR2013,United Kingdom,GBR,43449.0917173139,2786315215249.95,40218.7472562217,2579158803764.99,32.7,0.2,7.52,453761.3,7.07583845272116
2013-12-31,YR2013,Sweden,SWE,61126.9431963979,586841821796.891,46312.3923824667,444616519268.393,28.8,0.7,8.05,40536,4.2223333057997
2013-12-31,YR2013,Spain,ESP,29077.1820557563,1355579535912.55,32434.0032017704,1512074688796.68,36.2,1.1,26.09,242805.6,5.20818030098427
2014-12-31,YR2014,China,CHN,7636.11660125265,10475682920594.5,12480.3385303742,17121277216279.1,39.2,2.1,4.63,10006670,7.29423556339568
2014-12-31,YR2014,United States,USA,55123.8497869046,17550680174000,55123.8497869046,17550680174000,41.5,1.2,6.17,5107214,16.0409337173519
2014-12-31,YR2014,United Kingdom,GBR,47447.5889322667,3065223279583.79,41580.6024876318,2686202472925.53,33.1,0.2,6.11,415599.3,6.43319685005632
2014-12-31,YR2014,Sweden,SWE,60020.3604576572,581964017237.095,47184.6691338182,457507742235.106,28.4,0.5,7.95,39084.6,4.03095674450888
2014-12-31,YR2014,Spain,ESP,29513.6511800405,1371820537888.62,33525.7406299089,1558305994181.4,36.1,0.8,24.44,240960.8,5.18408407138229
2015-12-31,YR2015,China,CHN,8016.43143498352,11061553079876.4,12897.5022868649,17796747505553.3,38.6,1.2,4.65,9861100,7.14644963981853
2015-12-31,YR2015,United States,USA,56762.7294515989,18206020741000,56762.7294515989,18206020741000,41.2,1.2,5.28,4990709,15.5600319679247
