Stock,Date,Open,High,Low,Close,Adj Close,Volume
601939.SS,2010-01-01,6.19,6.63,5.55,5.65,2.909731,2512845659
601939.SS,2010-02-01,5.62,5.77,5.48,5.63,2.899431,1034750817
601939.SS,2010-03-01,5.64,5.77,5.48,5.67,2.920031,1401808747
601939.SS,2010-04-01,5.68,5.75,5.05,5.25,2.703732,1669090206
601939.SS,2010-05-01,5.25,5.25,4.9,4.96,2.554383,1386058102
601939.SS,2010-06-01,4.94,5.01,4.66,4.7,2.420484,906878556
601939.SS,2010-07-01,4.7,5.01,4.66,4.95,2.549234,1212814543
601939.SS,2010-08-01,4.95,5.01,4.66,4.68,2.51294,1052906398
601939.SS,2010-09-01,4.68,4.75,4.48,4.6,2.469984,833224456
601939.SS,2010-10-01,4.6,5.45,4.58,5.04,2.706244,1918733066
601939.SS,2010-11-01,5.07,5.35,4.55,4.62,2.480723,1385129994
601939.SS,2010-12-01,4.61,4.93,4.49,4.59,2.464614,1054538504
601939.SS,2011-01-01,4.59,4.94,4.58,4.8,2.577374,1192177283
601939.SS,2011-02-01,4.78,4.98,4.76,4.82,2.588114,1047893370
601939.SS,2011-03-01,4.84,5.09,4.79,4.97,2.668656,1169901123
601939.SS,2011-04-01,4.97,5.34,4.96,5.21,2.797525,1047059608
601939.SS,2011-05-01,5.21,5.25,4.9,5.04,2.706244,725703517
601939.SS,2011-06-01,5.04,5.07,4.8,4.94,2.652549,930792273
601939.SS,2011-07-01,4.95,5,4.64,4.71,2.639752,657166799
601939.SS,2011-08-01,4.73,4.73,4.33,4.59,2.572496,489655013
601939.SS,2011-09-01,4.58,4.61,4.32,4.4,2.46601,319677815
601939.SS,2011-10-01,4.4,4.86,4.39,4.82,2.701401,538033382
601939.SS,2011-11-01,4.81,4.92,4.64,4.69,2.628542,440326251
601939.SS,2011-12-01,4.75,4.89,4.47,4.54,2.544473,622075250
601939.SS,2012-01-01,4.53,4.93,4.48,4.77,2.673379,671103615
601939.SS,2012-02-01,4.77,4.95,4.73,4.88,2.735029,686047571
601939.SS,2012-03-01,4.88,4.91,4.69,4.83,2.707006,823555505
601939.SS,2012-04-01,4.83,4.85,4.67,4.79,2.684588,629050505
601939.SS,2012-05-01,4.79,4.82,4.47,4.49,2.516451,903761478
601939.SS,2012-06-01,4.5,4.53,4.16,4.2,2.353918,436875038
601939.SS,2012-07-01,4.21,4.21,3.86,3.97,2.34786,341081583
601939.SS,2012-08-01,3.97,4.08,3.97,4.02,2.37743,338596029
601939.SS,2012-09-01,4.02,4.03,3.82,3.98,2.353775,400195810
601939.SS,2012-10-01,3.98,4.21,3.94,4.13,2.442484,381280679
601939.SS,2012-11-01,4.14,4.34,4.1,4.17,2.466141,576875940
601939.SS,2012-12-01,4.15,4.63,4.13,4.6,2.720443,895209877
601939.SS,2013-01-01,4.6,5.02,4.56,4.97,2.939261,1335733797
601939.SS,2013-02-01,4.96,5.19,4.57,4.71,2.785497,931587599
601939.SS,2013-03-01,4.73,4.81,4.51,4.58,2.708614,985608672
601939.SS,2013-04-01,4.57,4.73,4.56,4.65,2.750013,564357794
601939.SS,2013-05-01,4.65,4.95,4.65,4.8,2.838723,556755009
601939.SS,2013-06-01,4.8,4.82,3.9,4.15,2.454313,662142784
601939.SS,2013-07-01,4.14,4.55,4.1,4.29,2.697398,734730147
601939.SS,2013-08-01,4.29,4.54,4.21,4.25,2.672247,437723292
601939.SS,2013-09-01,4.25,4.6,4.23,4.3,2.703685,642886972
601939.SS,2013-10-01,4.3,4.4,4.19,4.28,2.69111,402450735
601939.SS,2013-11-01,4.29,4.47,4.26,4.38,2.753986,570754156
601939.SS,2013-12-01,4.39,4.52,3.8,4.14,2.603083,517220689
601939.SS,2014-01-01,4.14,4.14,3.88,3.94,2.47733,453322791
601939.SS,2014-02-01,3.94,4.04,3.83,3.86,2.427029,465115055
601939.SS,2014-03-01,3.85,4.05,3.75,4,2.515056,508419678
