Stock,Date,Open,High,Low,Close,Adj Close,Volume
AZN,2010-01-01,23.709999,25.35,22.785,23.245001,13.180085,77487800
AZN,2010-02-01,23.309999,23.545,21.105,22.059999,12.508182,59314000
AZN,2010-03-01,21.975,22.75,21.879999,22.360001,13.158355,53378000
AZN,2010-04-01,22.445,22.924999,21.5,22.115,13.014174,52985600
AZN,2010-05-01,22.030001,22.155001,20.15,21.125,12.431581,106336200
AZN,2010-06-01,21.16,24.9,20.965,23.565001,13.867467,106375400
AZN,2010-07-01,23.870001,26.15,23.355,25.219999,14.841396,107246000
AZN,2010-08-01,25.764999,26.764999,24.655001,24.715,14.544217,57125200
AZN,2010-09-01,25.305,26.389999,25.16,25.35,15.120434,37921800
AZN,2010-10-01,25.575001,26.75,24.924999,25.23,15.048854,44996800
AZN,2010-11-01,24.975,25.344999,23.309999,23.465,13.996092,50097600
AZN,2010-12-01,23.725,24.780001,22.75,23.094999,13.7754,53990800
AZN,2011-01-01,23.219999,24.82,23.129999,24.450001,14.583611,56527400
AZN,2011-02-01,24.514999,24.715,23.6,24.584999,14.664135,48748400
AZN,2011-03-01,24.385,24.52,22.49,23.059999,14.291468,65962400
AZN,2011-04-01,23.155001,25.865,23.075001,24.915001,15.441105,54346800
AZN,2011-05-01,25.025,26.27,24.955,26.200001,16.237488,49634400
AZN,2011-06-01,26.209999,26.235001,24.084999,25.035,15.515477,56860600
AZN,2011-07-01,24.955,25.59,24.155001,24.254999,15.03207,67098800
AZN,2011-08-01,24.559999,24.559999,20.445,23.709999,14.694307,117681000
AZN,2011-09-01,23.615,23.809999,21.17,22.18,13.999266,61799800
AZN,2011-10-01,22.075001,24.975,21.465,23.955,15.119584,60872400
AZN,2011-11-01,23.33,23.995001,21.190001,22.99,14.510508,62820400
AZN,2011-12-01,22.969999,23.235001,22.235001,23.145,14.608338,61211000
AZN,2012-01-01,23.525,24.23,23.125,24.075001,15.195324,50906400
AZN,2012-02-01,24.23,24.5,22.26,22.445,14.166523,65992800
AZN,2012-03-01,22.5,22.865,22.065001,22.245001,14.640169,71456400
AZN,2012-04-01,22.325001,23.174999,21.5,21.950001,14.446022,76988400
AZN,2012-05-01,22.055,22.264999,20.07,20.205,13.297582,60470000
AZN,2012-06-01,20,22.525,19.860001,22.375,14.725732,60004400
