Stock,Date,Open,High,Low,Close,Adj Close,Volume
BBVA,2010-01-01,18.1425,18.781668,14.789333,14.936833,7.301758,23062779
BBVA,2010-02-01,15.123667,15.526833,12.3015,12.734167,6.225002,32545120
BBVA,2010-03-01,12.576833,14.435333,12.557167,13.461833,6.580718,23480036
BBVA,2010-04-01,13.668333,15.143333,12.272,12.911167,6.311527,36837765
BBVA,2010-05-01,12.694833,12.842333,9.204,10.226667,5.071526,88416408
BBVA,2010-06-01,9.8235,11.583667,8.505833,10.1185,5.017884,70425252
BBVA,2010-07-01,10.541333,13.648667,10.207,13.225833,6.558848,46106339
BBVA,2010-08-01,13.638833,14.042,11.485333,11.868833,5.947114,52690271
BBVA,2010-09-01,12.252333,13.756833,12.085167,13.255333,6.641849,32049254
BBVA,2010-10-01,13.275,13.815833,12.557167,12.930833,6.479252,35134375
BBVA,2010-11-01,12.527667,12.675167,8.948333,9.0565,4.578192,64719152
BBVA,2010-12-01,9.7645,10.639667,9.5875,10.0005,5.241805,59053932
BBVA,2011-01-01,10.010333,12.340833,8.791,12.0655,6.324183,83310712
BBVA,2011-02-01,12.4195,12.7735,11.583667,12.095,6.414514,45553830
BBVA,2011-03-01,12.1245,12.626,11.259167,12,6.364132,53761006
BBVA,2011-04-01,12.07,12.91,11.3,12.81,6.911701,25851800
BBVA,2011-05-01,12.97,13.01,10.78,11.73,6.328981,33432800
BBVA,2011-06-01,11.5,11.79,10.4,11.74,6.334375,41106600
BBVA,2011-07-01,11.85,12.13,9.82,10.42,5.622164,67610800
BBVA,2011-08-01,10.37,10.41,8.02,9.09,4.962652,75686500
BBVA,2011-09-01,8.9,9.15,7.02,8.13,4.438543,43502800
BBVA,2011-10-01,7.95,9.94,7.62,9.04,5.019312,66682000
BBVA,2011-11-01,8.37,8.82,7.27,8.43,4.680622,28949200
BBVA,2011-12-01,8.35,9.05,7.75,8.57,4.758354,24457800
BBVA,2012-01-01,8.76,9.17,7.5,8.76,4.863848,18146400
BBVA,2012-02-01,9.03,9.75,8.76,8.99,5.069219,27890100
BBVA,2012-03-01,9.09,9.16,7.72,7.99,4.505347,47885400
BBVA,2012-04-01,7.77,8.03,6.43,6.75,3.806145,45151000
BBVA,2012-05-01,6.81,6.96,5.57,5.72,3.301357,47510100
BBVA,2012-06-01,5.76,7.08,5.66,7.07,4.080524,40675600
BBVA,2012-07-01,7.06,7.23,5.3,6.45,3.722684,49635200
BBVA,2012-08-01,6.45,7.6,5.97,7.53,4.423569,45537300
BBVA,2012-09-01,7.59,8.85,7.54,7.75,4.552811,32134100
BBVA,2012-10-01,7.83,8.75,7.55,8.3,4.955075,18533900
BBVA,2012-11-01,8.37,8.5,7.56,8.45,5.044623,15502600
BBVA,2012-12-01,8.45,9.47,8.29,9.42,5.623711,16635100
BBVA,2013-01-01,9.58,10.57,9.41,9.88,5.898329,17811900
BBVA,2013-02-01,9.82,10.45,9.33,9.71,5.877913,38112600
BBVA,2013-03-01,9.42,10.2,8.51,8.77,5.308889,31348100
BBVA,2013-04-01,8.76,9.8,8.34,9.8,5.932396,32504600
BBVA,2013-05-01,9.73,9.99,9.07,9.33,5.748564,26880200
BBVA,2013-06-01,9.39,9.56,8.13,8.41,5.181716,26968100
BBVA,2013-07-01,8.49,9.51,8.13,9.45,5.8225,44910300
BBVA,2013-08-01,9.5,10.25,9.42,9.58,5.995496,33792000
BBVA,2013-09-01,9.73,11.31,9.72,11.18,6.996831,32320400
BBVA,2013-10-01,11.36,12.9,11.35,11.68,7.399683,62027900
BBVA,2013-11-01,11.65,12.09,11.08,11.89,7.532724,26334700
BBVA,2013-12-01,11.81,12.4,11.21,12.39,7.849491,23562100
BBVA,2014-01-01,12.04,13.54,11.7,11.91,7.545394,53368400
BBVA,2014-02-01,11.66,12.57,11.37,12.31,7.798809,27793400
BBVA,2014-03-01,12.06,12.84,11.73,12.01,7.608749,37161000
BBVA,2014-04-01,12.37,12.78,11.94,12.35,7.98246,26049500
BBVA,2014-05-01,12.41,12.89,11.97,12.87,8.318562,31098700
BBVA,2014-06-01,12.84,13.6,12.67,12.77,8.253926,28320400
BBVA,2014-07-01,12.89,13.18,12.04,12.29,7.943677,24026700
BBVA,2014-08-01,12.26,12.42,11.47,12.13,7.90569,26133200
BBVA,2014-09-01,12.19,12.74,11.84,12,7.820964,23276200
BBVA,2014-10-01,12.09,12.14,10.69,11.16,7.336188,45975500
BBVA,2014-11-01,11.04,11.07,10.19,10.71,7.040373,32177200
BBVA,2014-12-01,10.63,10.74,9.39,9.39,6.172653,44829500
BBVA,2015-01-01,9.61,9.64,8.44,8.52,5.659515,60554200
BBVA,2015-02-01,8.51,10.16,8.51,9.98,6.629338,49868100
BBVA,2015-03-01,10.01,10.42,9.37,10.03,6.66255,37828200
BBVA,2015-04-01,10.25,10.66,9.76,10.02,6.745107,66537400
BBVA,2015-05-01,10.07,10.46,9.71,9.89,6.657594,30516800
BBVA,2015-06-01,9.91,10.75,9.76,9.87,6.64413,44991000
BBVA,2015-07-01,9.96,10.35,9.13,10.12,6.812421,42908900
BBVA,2015-08-01,10.17,10.34,8.97,9.29,6.309237,51901800
BBVA,2015-09-01,9.01,9.24,8.16,8.37,5.684425,41039200
BBVA,2015-10-01,8.45,9.2,8.21,8.62,5.917462,66561200
BBVA,2015-11-01,8.71,8.78,8.03,8.27,5.677195,40901300
BBVA,2015-12-01,8.35,8.39,7.32,7.33,5.031903,54409900
BBVA,2016-01-01,7.21,7.24,6.06,6.47,4.441529,62816200
BBVA,2016-02-01,6.34,6.63,5.86,6.33,4.400109,55671800
BBVA,2016-03-01,6.36,7.35,6.32,6.52,4.532182,63625100
BBVA,2016-04-01,6.41,7.67,6,6.89,4.893619,68297900
BBVA,2016-05-01,6.87,6.89,6.15,6.61,4.694749,49351800
BBVA,2016-06-01,6.5,6.63,5.14,5.74,4.076832,94310300
BBVA,2016-07-01,5.71,6,5.24,5.84,4.147857,56527200
BBVA,2016-08-01,5.65,6.28,5.35,6.22,4.49263,63570600
BBVA,2016-09-01,6.32,6.49,5.78,5.96,4.304835,53270000
BBVA,2016-10-01,5.91,7.24,5.89,7.21,5.288286,93455300
BBVA,2016-11-01,7.24,7.24,6.04,6.16,4.518147,107856600
BBVA,2016-12-01,6.24,6.92,6.14,6.77,4.96556,62068400
BBVA,2017-01-01,6.89,7.02,6.43,6.81,4.994899,63136800
BBVA,2017-02-01,6.63,6.84,6.34,6.54,4.855379,50864500
BBVA,2017-03-01,6.66,7.9,6.66,7.61,5.649761,76991700
BBVA,2017-04-01,7.48,8.38,7.22,8,6.049942,58916600
BBVA,2017-05-01,8.07,8.7,8.02,8.22,6.216316,88935400
BBVA,2017-06-01,8.07,8.65,8.05,8.36,6.32219,71389900
BBVA,2017-07-01,8.48,9.09,8.45,9.08,6.866684,61824400
BBVA,2017-08-01,9.21,9.35,8.69,8.84,6.685187,64228000
BBVA,2017-09-01,8.86,9.01,8.56,8.92,6.745686,67032800
BBVA,2017-10-01,8.63,8.79,8.23,8.74,6.609562,66080000
BBVA,2017-11-01,8.68,8.72,8.25,8.56,6.555775,42743500
BBVA,2017-12-01,8.5,8.75,8.32,8.5,6.509822,48681000
BBVA,2018-01-01,8.52,9.54,8.47,9.39,7.191439,52249600
BBVA,2018-02-01,9.3,9.37,8.3,8.32,6.371967,124116200
BBVA,2018-03-01,8.27,8.32,7.63,7.9,6.050306,71293700
BBVA,2018-04-01,7.9,8.13,7.7,8.06,6.172843,41811300
BBVA,2018-05-01,8.07,8.18,6.65,6.88,5.396546,52770100
BBVA,2018-06-01,7,7.35,6.8,7,5.490671,63140400
BBVA,2018-07-01,6.87,7.5,6.8,7.3,5.725986,95517300
BBVA,2018-08-01,7.27,7.29,6,6.2,4.863166,90661900
BBVA,2018-09-01,6.13,6.78,5.96,6.3,4.941604,68795100
BBVA,2018-10-01,6.45,6.45,5.46,5.47,4.290567,86048200
BBVA,2018-11-01,5.66,6.04,5.43,5.66,4.4396,90593600
BBVA,2018-12-01,5.77,5.79,4.99,5.29,4.149378,106838600
BBVA,2019-01-01,5.18,6.11,5.18,5.97,4.682757,87261300
BBVA,2019-02-01,5.92,6.24,5.67,6.18,4.847478,54509100
BBVA,2019-03-01,6.2,6.31,5.62,5.73,4.494507,67656100
BBVA,2019-04-01,5.89,6.44,5.89,6.09,4.776884,64833100
BBVA,2019-05-01,6.1,6.12,5.42,5.43,4.388001,53656700
BBVA,2019-06-01,5.41,5.76,5.4,5.56,4.493054,109853200
BBVA,2019-07-01,5.67,5.74,5.07,5.11,4.129408,65645600
BBVA,2019-08-01,5.08,5.11,4.62,4.75,3.838491,102892600
BBVA,2019-09-01,4.69,5.38,4.67,5.2,4.202137,69999800
BBVA,2019-10-01,5.21,5.5,4.91,5.23,4.22638,86164700
BBVA,2019-11-01,5.23,5.52,5.19,5.23,4.319547,93179200
BBVA,2019-12-01,5.21,5.7,5.1,5.58,4.608618,133028000
BBVA,2020-01-01,5.66,5.72,4.92,5.12,4.228695,94548800
BBVA,2020-02-01,5.1,5.8,4.63,4.76,3.931366,150016100
BBVA,2020-03-01,4.71,4.92,2.8,3.06,2.527307,176351900
BBVA,2020-04-01,2.97,3.4,2.64,3.2,2.642935,78524200
BBVA,2020-05-01,3.18,3.27,2.66,3.11,2.718373,64686000
BBVA,2020-06-01,3.1,4.08,3.1,3.4,2.971855,87775100
BBVA,2020-07-01,3.36,3.75,3.04,3.07,2.68341,79818000
BBVA,2020-08-01,3.13,3.26,2.79,2.89,2.526077,75752000
BBVA,2020-09-01,2.89,3.05,2.49,2.74,2.394965,93674400
BBVA,2020-10-01,2.78,2.96,2.58,2.89,2.526077,62370400
BBVA,2020-11-01,2.88,4.71,2.83,4.58,4.003263,99585000
BBVA,2020-12-01,4.67,5.22,4.66,4.94,4.31793,113816700
BBVA,2021-01-01,5,5.36,4.56,4.58,4.003263,60700800
BBVA,2021-02-01,4.6,5.86,4.53,5.57,4.868598,49935300
BBVA,2021-03-01,5.54,5.84,5.04,5.22,4.56267,66630200
BBVA,2021-04-01,5.24,5.69,5.08,5.6,4.894819,32646100
BBVA,2021-05-01,5.66,6.32,5.58,6.23,5.445487,66524400
BBVA,2021-06-01,6.35,6.53,6.12,6.21,5.428005,45895300
BBVA,2021-07-01,6.35,6.46,5.7,6.37,5.567857,34936300
BBVA,2021-08-01,6.49,6.94,6.39,6.54,5.716449,26222800
BBVA,2021-09-01,6.63,6.85,6.05,6.59,5.760153,30900800
BBVA,2021-10-01,6.52,7.08,6.46,6.97,6.092302,27887400
BBVA,2021-11-01,7.22,7.26,5.28,5.3,4.695983,34135800
BBVA,2021-12-01,5.45,5.95,5.27,5.87,5.201022,59354200
BBVA,2022-01-01,5.9,6.64,5.89,6.38,5.652899,44775300
BBVA,2022-02-01,6.43,6.97,5.83,5.88,5.209883,52728800
BBVA,2022-03-01,5.81,6.12,4.76,5.69,5.041536,87459000
BBVA,2022-04-01,5.82,5.85,4.87,5.19,4.598519,57095200
BBVA,2022-05-01,5.17,5.49,4.78,5.47,5.081339,49635900
BBVA,2022-06-01,5.43,5.48,4.28,4.52,4.19884,72497400
BBVA,2022-07-01,4.46,4.54,3.93,4.54,4.217418,60870700
BBVA,2022-08-01,4.48,4.97,4.37,4.44,4.124524,69127100
BBVA,2022-09-01,4.44,5.01,4.32,4.45,4.133813,44887700
BBVA,2022-10-01,4.5,5.27,4.37,5.15,4.784076,38485600
BBVA,2022-11-01,5.23,5.86,5.03,5.86,5.583209,36785000
BBVA,2022-12-01,5.9,6.07,5.6,6.01,5.726123,32206900
