Stock,Date,Open,High,Low,Close,Adj Close,Volume
CABK.MC,2010-01-01,3.295,3.53,3.255,3.282,1.601076,76392783
CABK.MC,2010-02-01,3.274,3.374,3.05,3.36,1.639127,63974658
CABK.MC,2010-03-01,3.36,3.799,3.32,3.669,1.789869,82606139
CABK.MC,2010-04-01,3.697,3.975,3.52,3.751,1.829871,81599264
CABK.MC,2010-05-01,3.721,3.75,3.23,3.503,1.708888,169182528
CABK.MC,2010-06-01,3.4,3.581,3.153,3.361,1.639615,151084625
CABK.MC,2010-07-01,3.3,3.83,3.3,3.749,1.899947,69888236
CABK.MC,2010-08-01,3.79,3.976,3.552,3.705,1.877648,114068417
CABK.MC,2010-09-01,3.672,3.96,3.668,3.853,1.952653,112011062
CABK.MC,2010-10-01,3.87,4.08,3.774,4.057,2.089882,50156081
CABK.MC,2010-11-01,4.09,4.1,3.75,3.783,1.948737,122596259
CABK.MC,2010-12-01,3.75,4.175,3.744,3.982,2.051247,124274578
CABK.MC,2011-01-01,4.039,5.66,3.755,5.041,2.638619,226802293
CABK.MC,2011-02-01,5,5.25,4.939,5.245,2.80294,181290209
CABK.MC,2011-03-01,5.17,5.249,4.801,4.977,2.65972,197925900
CABK.MC,2011-04-01,5.08,5.1,4.876,4.985,2.694823,100454056
CABK.MC,2011-05-01,5.021,5.075,4.911,5.057,2.733744,119964042
CABK.MC,2011-06-01,5.021,5.068,4.572,4.813,2.601842,149104307
CABK.MC,2011-07-01,4.895,4.97,3.941,4.033,2.203568,126520339
CABK.MC,2011-08-01,4.07,4.15,3.24,3.558,1.944036,95530802
CABK.MC,2011-09-01,3.589,3.599,3.05,3.319,1.81345,55675856
CABK.MC,2011-10-01,3.28,3.71,2.98,3.544,1.972922,51842160
CABK.MC,2011-11-01,3.498,3.82,3.251,3.789,2.109312,71205543
CABK.MC,2011-12-01,3.758,4.01,3.67,3.795,2.112652,139410256
CABK.MC,2012-01-01,3.82,4,3.707,3.842,2.171831,59019662
CABK.MC,2012-02-01,3.851,4.119,3.501,3.541,2.00168,90182634
CABK.MC,2012-03-01,3.52,3.579,2.88,2.919,1.650072,181651822
CABK.MC,2012-04-01,2.945,2.945,2.46,2.604,1.500635,114303830
CABK.MC,2012-05-01,2.604,2.647,2.011,2.018,1.162935,94375578
CABK.MC,2012-06-01,2.029,2.64,2.005,2.561,1.511695,119793746
CABK.MC,2012-07-01,2.59,2.75,2.076,2.664,1.572493,78055373
CABK.MC,2012-08-01,2.633,3.05,2.41,3.032,1.789714,67791832
CABK.MC,2012-09-01,2.99,3.068,2.881,2.926,1.727145,64210249
CABK.MC,2012-10-01,2.966,3.069,2.892,2.92,1.758743,41969225
CABK.MC,2012-11-01,2.911,2.975,2.56,2.939,1.770187,40755385
CABK.MC,2012-12-01,2.965,2.988,2.5,2.637,1.588289,79974979
CABK.MC,2013-01-01,2.637,3.215,2.637,2.907,1.788798,241384245
CABK.MC,2013-02-01,2.81,3.18,2.75,3.142,1.933403,126117386
CABK.MC,2013-03-01,3.133,3.133,2.517,2.64,1.624502,160718396
CABK.MC,2013-04-01,2.64,2.82,2.55,2.811,1.764646,198375588
CABK.MC,2013-05-01,2.811,2.865,2.681,2.78,1.745184,122893198
CABK.MC,2013-06-01,2.754,2.805,2.324,2.361,1.482152,125942975
CABK.MC,2013-07-01,2.399,2.826,2.354,2.772,1.740163,221636536
CABK.MC,2013-08-01,2.776,3.215,2.765,2.81,1.796504,155835005
CABK.MC,2013-09-01,2.838,3.343,2.82,3.244,2.073972,183055561
CABK.MC,2013-10-01,3.197,3.917,3.183,3.829,2.447977,264607961
CABK.MC,2013-11-01,3.832,3.894,3.38,3.724,2.418118,924882122
CABK.MC,2013-12-01,3.744,3.799,3.45,3.788,2.494192,302315691
CABK.MC,2014-01-01,3.788,4.56,3.724,4.55,2.995928,445726734
CABK.MC,2014-02-01,4.54,4.85,4.371,4.57,3.009097,302459822
CABK.MC,2014-03-01,4.481,4.732,4.135,4.67,3.074941,408111680
CABK.MC,2014-04-01,4.666,4.793,4.31,4.39,2.92312,265973920
CABK.MC,2014-05-01,4.39,4.502,4.18,4.462,2.971062,263339743
CABK.MC,2014-06-01,4.49,4.783,4.43,4.507,3.001026,277881768
CABK.MC,2014-07-01,4.529,4.707,4.151,4.499,3.029276,340870338
CABK.MC,2014-08-01,4.49,4.599,4.073,4.578,3.082469,227748993
CABK.MC,2014-09-01,4.58,5,4.517,4.821,3.246086,335587754
CABK.MC,2014-10-01,4.78,4.878,4.131,4.351,2.959976,436602533
CABK.MC,2014-11-01,4.33,4.5,3.983,4.441,3.021204,444533351
CABK.MC,2014-12-01,4.4,4.619,4.046,4.361,3.000897,313752243
CABK.MC,2015-01-01,4.361,4.569,3.842,3.864,2.6589,528602105
CABK.MC,2015-02-01,3.876,4.177,3.711,4.15,2.855703,523377899
CABK.MC,2015-03-01,4.158,4.449,3.952,4.415,3.038055,478334895
