Stock,Date,Open,High,Low,Close,Adj Close,Volume
HSBC,2010-01-01,58.09,59.689999,53.119999,53.509998,27.346111,44905100
HSBC,2010-02-01,54.259998,55.59,49.84,54.919998,28.066679,57075000
HSBC,2010-03-01,51.029999,53.82,49.889999,50.689999,25.904951,73883600
HSBC,2010-04-01,51.049999,55.27,50.25,50.889999,26.258741,47529300
HSBC,2010-05-01,51.110001,51.560001,43.25,45.360001,23.405313,90479600
HSBC,2010-06-01,46.029999,49.07,44.869999,45.59,23.726831,58090500
HSBC,2010-07-01,46.099998,52.330002,45.259998,51.080002,26.584036,67537800
HSBC,2010-08-01,53.77,54.080002,48.040001,49.200001,25.60561,54421900
HSBC,2010-09-01,49.380001,53.169998,49.259998,50.59,26.534113,47664600
HSBC,2010-10-01,51.650002,53.330002,51.299999,52.110001,27.331339,51429600
HSBC,2010-11-01,52.349998,56.990002,50.200001,50.560001,26.518381,56353900
HSBC,2010-12-01,51.09,53.099998,50.59,51.040001,26.974068,36064700
HSBC,2011-01-01,51.32,56.880001,51.279999,54.639999,28.876629,42803200
HSBC,2011-02-01,55.16,59.139999,54.310001,55.09,29.114443,45758600
HSBC,2011-03-01,54.040001,54.349998,49.330002,51.799999,27.375715,88171900
HSBC,2011-04-01,52.23,54.849998,51.849998,54.470001,29.119577,44800500
HSBC,2011-05-01,54.610001,54.869999,50.279999,52.360001,27.991566,47847300
HSBC,2011-06-01,51.98,52.060001,47.790001,49.619999,26.757715,63904000
HSBC,2011-07-01,50.25,50.709999,47.23,48.869999,26.353277,50624900
HSBC,2011-08-01,50.25,50.299999,40.41,43.560001,23.489834,119125500
HSBC,2011-09-01,43.619999,43.919998,37.029999,38.040001,20.72023,69628700
HSBC,2011-10-01,37.720001,45.939999,35.790001,43.66,23.781422,68052800
HSBC,2011-11-01,41.880001,43.939999,35.720001,39.150002,21.324839,72255300
HSBC,2011-12-01,39.299999,40.860001,36.669998,38.099998,21.009047,39228300
HSBC,2012-01-01,38.84,42.830002,37.860001,41.830002,23.065838,45974700
HSBC,2012-02-01,42.689999,46.02,42.599998,44.419998,24.494009,41275600
HSBC,2012-03-01,44.919998,46.080002,42.91,44.389999,24.477465,44344800
HSBC,2012-04-01,43.880001,45.740002,42.299999,45.169998,25.297983,54834200
HSBC,2012-05-01,45.41,46.130001,38.759998,39.5,22.122429,53313600
HSBC,2012-06-01,39.07,44.77,38.560001,44.130001,24.972914,47232500
HSBC,2012-07-01,44.439999,44.950001,39.380001,41.799999,23.654381,47743700
HSBC,2012-08-01,42.169998,45.09,41.529999,43.630001,24.689974,30889400
HSBC,2012-09-01,43.48,47.799999,42.849998,46.459999,26.559664,30571000
HSBC,2012-10-01,47.32,49.939999,46.830002,49.360001,28.217499,27945600
HSBC,2012-11-01,49.830002,51.32,47.209999,51.130001,29.500212,34430400
HSBC,2012-12-01,51.279999,53.299999,51.029999,53.07,30.619528,28850400
HSBC,2013-01-01,54.360001,57.369999,52.919998,56.860001,32.806229,32695200
HSBC,2013-02-01,56.75,57.240002,53.900002,55.439999,31.986937,24183800
HSBC,2013-03-01,54.290001,55.869999,52.43,53.34,30.775316,35488400
HSBC,2013-04-01,53.349998,55.110001,50.580002,54.860001,32.186863,26589000
HSBC,2013-05-01,55.380001,58.709999,54.639999,54.860001,32.186863,28904800
HSBC,2013-06-01,55.349998,56.18,50.380001,51.900002,30.714212,29879400
HSBC,2013-07-01,52.82,57.110001,51.68,56.75,33.584404,18748400
HSBC,2013-08-01,57.139999,57.970001,52.110001,52.419998,31.021948,25596400
HSBC,2013-09-01,53.990002,56.959999,53.369999,54.259998,32.404152,18694500
HSBC,2013-10-01,54.5,56.209999,53.349998,55.040001,32.869961,26231800
HSBC,2013-11-01,55.029999,56.790001,54.720001,56.099998,33.80471,20435100
HSBC,2013-12-01,55.759998,55.869999,52.73,55.130001,33.220215,22468200
HSBC,2014-01-01,54.689999,56.27,51.27,51.490002,31.026829,32519000
HSBC,2014-02-01,51.459999,55.16,50.509998,52.790001,31.810179,32497300
HSBC,2014-03-01,52.09,53.099998,48.860001,50.830002,30.629118,38031400
HSBC,2014-04-01,51.310001,52.279999,50.27,51.32,31.506014,41882100
HSBC,2014-05-01,51.540001,53.380001,50.130001,52.720001,32.365498,31814800
HSBC,2014-06-01,52.82,52.84,50.439999,50.799999,31.48539,25868600
HSBC,2014-07-01,51.139999,54.400002,50.16,53.389999,33.090652,28258000
HSBC,2014-08-01,53.029999,54.419998,52.400002,54.060001,33.505913,28485500
HSBC,2014-09-01,53.48,54.25,50.619999,50.880001,31.830458,25614400
HSBC,2014-10-01,50.68,51.43,48.799999,51.02,31.918047,52989400
HSBC,2014-11-01,50.279999,50.669998,48.990002,49.75,31.435148,23566700
HSBC,2014-12-01,49.48,50.349998,46.080002,47.23,29.842857,41978600
HSBC,2015-01-01,47.299999,47.380001,44.720001,45.720001,28.888741,42275300
HSBC,2015-02-01,45.720001,47.580002,44.169998,44.619999,28.193689,39594600
HSBC,2015-03-01,44.599998,44.959999,41.200001,42.59,26.911016,48153600
HSBC,2015-04-01,42.889999,50.259998,42.700001,49.630001,32.075138,54479300
HSBC,2015-05-01,49.130001,49.580002,47.290001,47.5,30.698547,42674200
HSBC,2015-06-01,47.529999,48.240002,44.610001,44.810001,29.265844,36299300
HSBC,2015-07-01,44.529999,45.790001,42.509998,45.07,29.435656,34809700
HSBC,2015-08-01,45.259998,46.380001,38.060001,39.669998,25.908855,48310800
HSBC,2015-09-01,38.349998,40.18,36.779999,37.880001,25.016649,45870400
HSBC,2015-10-01,38.5,40.959999,37.869999,39.07,25.802551,36463200
HSBC,2015-11-01,38.939999,40.740002,38.5,39.900002,26.685347,33061200
HSBC,2015-12-01,40.650002,40.740002,37.279999,39.470001,26.39776,50172000
HSBC,2016-01-01,38.299999,38.610001,32.700001,35.400002,23.675716,66437000
HSBC,2016-02-01,34.400002,35.040001,30.129999,31.77,21.247955,82416100
HSBC,2016-03-01,32.009998,32.889999,30.75,31.120001,20.813234,64244600
HSBC,2016-04-01,30.52,34.540001,29.139999,33.330002,23.003933,55622500
HSBC,2016-05-01,33.5,33.5,30.790001,32.439999,22.389666,53940900
HSBC,2016-06-01,31.969999,33.75,28.620001,31.309999,21.959425,95656700
HSBC,2016-07-01,31.49,32.98,29.67,32.75,22.969379,57663200
HSBC,2016-08-01,32.259998,37.220001,32.029999,37.200001,26.090412,57024700
HSBC,2016-09-01,38.139999,38.849998,36.790001,37.610001,26.758045,57415200
HSBC,2016-10-01,37.66,38.759998,36.790001,37.630001,26.772278,41824300
