Stock,Date,Open,High,Low,Close,Adj Close,Volume
HXGBF,2010-01-01,2.064286,2.278571,2.064286,2.118571,1.898106,4900
HXGBF,2010-02-01,2.118571,2.118571,1.828571,1.9,1.70228,7700
HXGBF,2010-03-01,1.9,1.9,1.9,1.9,1.70228,0
HXGBF,2010-04-01,1.9,2.264286,1.9,2.264286,2.028657,9100
HXGBF,2010-05-01,2.264286,2.264286,2.264286,2.264286,2.028657,0
HXGBF,2010-06-01,2.264286,2.264286,1.907143,1.928571,1.727878,1400
HXGBF,2010-07-01,1.928571,2.128571,1.928571,2.128571,1.907065,4900
HXGBF,2010-08-01,2.128571,2.128571,2.128571,2.128571,1.907065,0
HXGBF,2010-09-01,2.128571,2.128571,2.128571,2.128571,1.907065,0
HXGBF,2010-10-01,2.128571,3.107143,2.128571,3.107143,2.783803,1400
HXGBF,2010-11-01,3.107143,3.194286,3.067143,3.067143,2.747966,20300
HXGBF,2010-12-01,3.067143,3.067143,2.765714,3.064286,2.745406,17500
HXGBF,2011-01-01,3.064286,3.064286,3.064286,3.064286,2.745406,0
HXGBF,2011-02-01,3.064286,3.128571,2.9,3.071429,2.751806,52500
HXGBF,2011-03-01,3.071429,3.427143,3.071429,3.427143,3.070504,46200
HXGBF,2011-04-01,3.407143,3.65,3.374286,3.65,3.27017,17500
HXGBF,2011-05-01,3.721429,3.792857,3.564286,3.764286,3.372562,18200
HXGBF,2011-06-01,3.85,3.85,3.307143,3.357143,3.007788,26600
HXGBF,2011-07-01,3.578571,3.578571,2.927143,2.942857,2.636614,130200
HXGBF,2011-08-01,2.832857,2.832857,2.035714,2.284286,2.046576,210000
HXGBF,2011-09-01,2.284286,2.3,1.857143,1.857143,1.663883,62300
HXGBF,2011-10-01,1.857143,2.375714,1.607143,2.164286,1.939063,206500
HXGBF,2011-11-01,2.164286,2.185714,2.164286,2.185714,1.958262,1400
HXGBF,2011-12-01,2.185714,2.247143,1.985714,2.02,1.809792,5600
HXGBF,2012-01-01,2.02,2.557143,2.02,2.557143,2.291038,8400
HXGBF,2012-02-01,2.557143,2.828571,2.557143,2.828571,2.534221,8400
HXGBF,2012-03-01,2.828571,2.828571,2.635714,2.664286,2.387032,7000
HXGBF,2012-04-01,2.8,2.842857,2.8,2.842857,2.54702,5600
HXGBF,2012-05-01,2.842857,2.842857,2.571429,2.65,2.374233,9100
HXGBF,2012-06-01,2.65,2.65,2.447143,2.585714,2.316636,14700
HXGBF,2012-07-01,2.585714,2.757143,2.435714,2.757143,2.470226,360500
HXGBF,2012-08-01,2.757143,2.928571,2.757143,2.801429,2.509904,116200
HXGBF,2012-09-01,2.801429,3.078571,2.801429,3.014286,2.70061,34300
HXGBF,2012-10-01,3.014286,3.144286,3.014286,3.144286,2.817081,4200
HXGBF,2012-11-01,3.144286,3.53,3.144286,3.53,3.162657,9800
HXGBF,2012-12-01,3.53,3.678571,3.53,3.642857,3.26377,50400
HXGBF,2013-01-01,3.642857,3.907143,3.637143,3.907143,3.500554,18200
HXGBF,2013-02-01,3.907143,4.157143,3.855714,4,3.583747,35000
HXGBF,2013-03-01,4.035714,4.157143,4.035714,4.157143,3.724538,7700
HXGBF,2013-04-01,4.157143,4.157143,3.878571,4.107143,3.67974,13300
HXGBF,2013-05-01,4.107143,4.355714,3.875714,4.307143,3.858928,107800
HXGBF,2013-06-01,4.307143,4.307143,4.307143,4.307143,3.858928,0
HXGBF,2013-07-01,4.307143,4.307143,4.285714,4.285714,3.839729,11900
HXGBF,2013-08-01,4.4,4.444286,4.264286,4.292857,3.846128,77000
HXGBF,2013-09-01,4.292857,4.292857,4.292857,4.292857,3.846128,0
HXGBF,2013-10-01,4.292857,4.414286,4.292857,4.414286,3.954921,2100
