Stock,Date,Open,High,Low,Close,Adj Close,Volume
IBE.MC,2010-01-01,6.67,6.779,6.138,6.18,3.22993,715353600
IBE.MC,2010-02-01,6.145,6.279,5.74,5.914,3.090907,636522405
IBE.MC,2010-03-01,5.914,6.394,5.892,6.275,3.279582,728548758
IBE.MC,2010-04-01,6.275,6.577,5.822,5.99,3.130629,569710830
IBE.MC,2010-05-01,5.99,6.017,4.965,5.392,2.818088,1053006934
IBE.MC,2010-06-01,5.385,5.519,4.568,4.632,2.420879,1222490746
IBE.MC,2010-07-01,4.535,5.515,4.501,5.415,2.933802,804219016
IBE.MC,2010-08-01,5.415,5.679,5.224,5.56,3.012361,507017112
IBE.MC,2010-09-01,5.56,5.797,5.525,5.643,3.057331,647032213
IBE.MC,2010-10-01,5.643,6.1,5.5,6.06,3.283257,729461846
IBE.MC,2010-11-01,6.06,6.124,5.268,5.295,2.868786,1140596340
IBE.MC,2010-12-01,5.307,5.975,5.29,5.768,3.125054,853743142
IBE.MC,2011-01-01,5.713,6.4,5.4,6.26,3.482075,830670869
IBE.MC,2011-02-01,6.274,6.495,6.114,6.323,3.517118,627167304
IBE.MC,2011-03-01,6.301,6.341,5.73,6.136,3.413101,1042720430
IBE.MC,2011-04-01,6.181,6.335,5.939,6.27,3.487637,824641154
IBE.MC,2011-05-01,6.285,6.327,5.911,6.15,3.420888,712689224
IBE.MC,2011-06-01,6.161,6.212,5.84,6.137,3.413657,917759936
IBE.MC,2011-07-01,6.15,6.259,5.429,5.669,3.153337,736831331
IBE.MC,2011-08-01,5.703,5.744,4.662,5.134,2.952077,953230723
IBE.MC,2011-09-01,5.156,5.196,4.285,5.071,2.915853,1031178551
IBE.MC,2011-10-01,4.97,5.489,4.828,5.258,3.023378,641159882
IBE.MC,2011-11-01,5.1,5.139,4.477,4.957,2.850302,890680879
IBE.MC,2011-12-01,4.975,5.168,4.654,4.839,2.782451,888093492
IBE.MC,2012-01-01,4.847,4.984,4.44,4.502,2.588674,851573481
IBE.MC,2012-02-01,4.517,4.793,4.404,4.442,2.631589,565121638
IBE.MC,2012-03-01,4.42,4.613,4.162,4.257,2.521989,919534747
IBE.MC,2012-04-01,4.259,4.278,3.453,3.517,2.083588,1056485211
IBE.MC,2012-05-01,3.517,3.625,3.028,3.075,1.821732,891146779
IBE.MC,2012-06-01,3.07,3.719,3.031,3.719,2.20326,2005462547
IBE.MC,2012-07-01,3.683,3.751,2.63,2.95,1.747678,2354891452
IBE.MC,2012-08-01,2.939,3.414,2.681,3.154,1.951789,829788339
IBE.MC,2012-09-01,3.165,3.845,3.138,3.528,2.183232,897459074
IBE.MC,2012-10-01,3.535,4.184,3.501,3.99,2.469131,752317489
IBE.MC,2012-11-01,3.944,4.031,3.704,3.82,2.36393,521535258
IBE.MC,2012-12-01,3.856,4.274,3.726,4.195,2.595991,918266993
IBE.MC,2013-01-01,4.195,4.291,3.965,3.972,2.457992,738770076
IBE.MC,2013-02-01,3.948,3.95,3.583,3.79,2.42622,764749144
IBE.MC,2013-03-01,3.783,4.13,3.612,3.633,2.325714,1052970724
IBE.MC,2013-04-01,3.633,4.122,3.622,4.09,2.618269,760825038
IBE.MC,2013-05-01,4.09,4.353,4.05,4.173,2.671403,656719740
IBE.MC,2013-06-01,4.135,4.274,3.907,4.056,2.596503,1612503378
IBE.MC,2013-07-01,4.084,4.157,3.746,4.15,2.656679,1368217510
IBE.MC,2013-08-01,4.16,4.296,3.994,4.012,2.654145,467019624
IBE.MC,2013-09-01,4.03,4.355,3.967,4.295,2.841365,645277160
IBE.MC,2013-10-01,4.293,4.693,4.233,4.628,3.061662,794612313
IBE.MC,2013-11-01,4.65,4.79,4.599,4.688,3.101354,533557016
IBE.MC,2013-12-01,4.624,4.667,4.37,4.635,3.066292,782345738
IBE.MC,2014-01-01,4.635,4.794,4.5,4.577,3.027922,886474037
IBE.MC,2014-02-01,4.583,4.835,4.455,4.817,3.273417,549966414
IBE.MC,2014-03-01,4.755,5.113,4.722,5.076,3.449422,943403756
IBE.MC,2014-04-01,5.07,5.119,4.75,5.035,3.421559,1190743128
IBE.MC,2014-05-01,5.035,5.279,5.035,5.279,3.587371,609684652
IBE.MC,2014-06-01,5.3,5.614,5.254,5.583,3.793956,725578457
IBE.MC,2014-07-01,5.597,5.679,5.3,5.566,3.782403,790381213
IBE.MC,2014-08-01,5.559,5.623,5.331,5.585,3.874212,442197527
IBE.MC,2014-09-01,5.58,5.769,5.494,5.67,3.933175,628260467
IBE.MC,2014-10-01,5.692,5.715,5.111,5.641,3.913057,782444166
IBE.MC,2014-11-01,5.627,5.952,5.439,5.946,4.124629,1320530062
IBE.MC,2014-12-01,5.933,5.969,5.305,5.597,3.882535,1309148894
IBE.MC,2015-01-01,5.597,6.24,5.35,6.128,4.343734,759916380
IBE.MC,2015-02-01,6.127,6.166,5.686,6.107,4.32885,685900298
IBE.MC,2015-03-01,6.091,6.266,5.85,6.002,4.254422,903456837
IBE.MC,2015-04-01,5.98,6.232,5.952,5.977,4.236701,750709510
IBE.MC,2015-05-01,5.977,6.459,5.762,6.296,4.462819,626638596
IBE.MC,2015-06-01,6.333,6.417,5.92,6.042,4.282775,810406672
IBE.MC,2015-07-01,6.09,6.494,5.8,6.424,4.55355,815023180
IBE.MC,2015-08-01,6.425,6.492,5.658,6.055,4.372931,523748878
IBE.MC,2015-09-01,5.983,6.057,5.732,5.947,4.294934,615439052
IBE.MC,2015-10-01,5.993,6.515,5.898,6.497,4.692145,420463165
IBE.MC,2015-11-01,6.46,6.696,6.317,6.631,4.788919,497636025
IBE.MC,2015-12-01,6.629,6.705,6.22,6.55,4.730422,561231253
IBE.MC,2016-01-01,6.55,6.597,6.072,6.448,4.656756,852937805
IBE.MC,2016-02-01,6.484,6.536,5.83,5.964,4.394176,554860525
IBE.MC,2016-03-01,5.969,6.159,5.776,5.861,4.318288,654705934
IBE.MC,2016-04-01,5.798,6.286,5.72,6.204,4.571004,673913361
IBE.MC,2016-05-01,6.248,6.269,5.95,6.096,4.491433,327250652
IBE.MC,2016-06-01,6.064,6.1,4.8,6.087,4.484801,720859717
IBE.MC,2016-07-01,6.1,6.225,5.665,6.145,4.527534,572284637
IBE.MC,2016-08-01,6.17,6.19,5.829,5.9,4.459421,311514951
IBE.MC,2016-09-01,5.919,6.172,5.859,6.052,4.574308,391196938
IBE.MC,2016-10-01,6.011,6.27,5.812,6.209,4.692973,423786066
IBE.MC,2016-11-01,6.257,6.257,5.56,5.6968,4.305834,484936057
IBE.MC,2016-12-01,5.657,6.234,5.526,6.234,4.711869,674683174
IBE.MC,2017-01-01,6.201,6.276,5.782,5.834,4.409536,541450603
IBE.MC,2017-02-01,5.878,6.293,5.76,6.274,4.848587,375983864
IBE.MC,2017-03-01,6.29,6.706,6.251,6.705,5.181665,576616969
IBE.MC,2017-04-01,6.719,6.78,6.422,6.602,5.102068,654155042
IBE.MC,2017-05-01,6.602,7.161,6.573,7.098,5.485379,388436853
IBE.MC,2017-06-01,7.126,7.298,6.907,6.933,5.357867,647341956
IBE.MC,2017-07-01,6.956,7.03,6.616,6.664,5.149982,484464618
IBE.MC,2017-08-01,6.75,7.021,6.673,6.861,5.441405,291756825
IBE.MC,2017-09-01,6.885,6.984,6.468,6.572,5.2122,331997806
IBE.MC,2017-10-01,6.49,6.962,6.253,6.938,5.502473,418842459
IBE.MC,2017-11-01,6.981,6.984,6.419,6.672,5.29151,415703080
IBE.MC,2017-12-01,6.674,6.765,6.455,6.46,5.123375,325812629
IBE.MC,2018-01-01,6.46,6.796,6.394,6.558,5.201097,461487105
IBE.MC,2018-02-01,6.574,6.668,5.872,6.076,4.924372,438007508
IBE.MC,2018-03-01,6.052,6.16,5.712,5.972,4.840083,417727209
IBE.MC,2018-04-01,5.972,6.466,5.908,6.416,5.199928,354042623
IBE.MC,2018-05-01,6.416,6.608,6.054,6.072,4.92113,379256115
IBE.MC,2018-06-01,6.108,6.742,6.092,6.624,5.368505,453889066
IBE.MC,2018-07-01,6.562,6.992,6.478,6.65,5.389576,442185883
IBE.MC,2018-08-01,6.64,6.67,6.402,6.422,5.347577,313263674
IBE.MC,2018-09-01,6.398,6.512,6.206,6.338,5.27763,322531674
IBE.MC,2018-10-01,6.358,6.476,5.938,6.256,5.20935,379801538
IBE.MC,2018-11-01,6.254,6.802,6.232,6.59,5.48747,315971939
IBE.MC,2018-12-01,6.696,7.172,6.518,7.018,5.843863,450348518
IBE.MC,2019-01-01,7.018,7.2,6.832,7.2,5.995415,422127186
IBE.MC,2019-02-01,7.232,7.44,7.1,7.352,6.255206,283864150
IBE.MC,2019-03-01,7.36,7.912,7.276,7.826,6.658492,421269558
IBE.MC,2019-04-01,7.85,8.196,7.604,8.098,6.889915,323858337
IBE.MC,2019-05-01,8.098,8.56,7.85,8.314,7.073692,328275156
IBE.MC,2019-06-01,8.282,9.126,8.262,8.766,7.458261,446421553
IBE.MC,2019-07-01,8.836,9.052,8.416,8.57,7.291501,361842359
IBE.MC,2019-08-01,8.522,9.438,8.512,9.352,8.137636,312385853
IBE.MC,2019-09-01,9.35,9.572,9.06,9.536,8.297743,367289224
IBE.MC,2019-10-01,9.532,9.578,9.02,9.208,8.012335,361025965
IBE.MC,2019-11-01,9.26,9.26,8.766,8.928,7.768692,338741646
IBE.MC,2019-12-01,8.918,9.346,8.566,9.18,7.987971,342875048
IBE.MC,2020-01-01,9.18,10.01,8.812,9.87,8.588371,409953123
IBE.MC,2020-02-01,9.898,11.345,9.866,10.32,9.151063,493304671
IBE.MC,2020-03-01,10.51,11.255,7.76,8.984,7.966391,735185371
IBE.MC,2020-04-01,8.754,9.398,8.432,9.14,8.104722,307168304
IBE.MC,2020-05-01,9.14,9.844,8.402,9.688,8.59065,395196083
IBE.MC,2020-06-01,9.75,10.455,9.402,10.32,9.151063,467331099
IBE.MC,2020-07-01,10.345,11.515,10.265,10.92,9.683102,324492087
IBE.MC,2020-08-01,10.87,11.17,10.52,10.55,9.559705,184455672
IBE.MC,2020-09-01,10.655,10.895,10.205,10.51,9.523459,277441215
IBE.MC,2020-10-01,10.62,11.315,10.075,10.125,9.174599,268386049
IBE.MC,2020-11-01,10.16,11.565,10.105,11.445,10.370694,314419859
IBE.MC,2020-12-01,11.44,11.83,11.005,11.7,10.601758,369184712
IBE.MC,2021-01-01,11.7,12.57,11.11,11.185,10.1351,310788042
IBE.MC,2021-02-01,11.105,11.495,10.08,10.425,9.576074,257576163
IBE.MC,2021-03-01,10.495,11.065,10.01,10.985,10.090472,317194167
IBE.MC,2021-04-01,11,11.74,10.87,11.235,10.320114,251718476
IBE.MC,2021-05-01,11.25,11.57,10.89,10.995,10.099657,244627425
IBE.MC,2021-06-01,10.995,11.075,10.195,10.28,9.442883,310024744
IBE.MC,2021-07-01,10.315,10.745,10.095,10.16,9.332653,223372564
IBE.MC,2021-08-01,10.175,10.87,10.06,10.495,9.875234,182578270
IBE.MC,2021-09-01,10.515,10.695,8.684,8.684,8.171182,343016849
IBE.MC,2021-10-01,8.626,10.28,8.586,10.215,9.61177,324371451
IBE.MC,2021-11-01,10.165,10.335,9.688,9.904,9.319136,297650704
IBE.MC,2021-12-01,9.896,10.465,9.494,10.41,9.795254,307708083
IBE.MC,2022-01-01,10.38,10.52,9.786,10.16,9.560018,281838059
IBE.MC,2022-02-01,10.22,10.335,8.93,10.18,9.740305,325621983
IBE.MC,2022-03-01,10.16,10.26,8.472,9.92,9.491534,441988831
IBE.MC,2022-04-01,9.954,11.105,9.842,11.01,10.534455,329067059
IBE.MC,2022-05-01,10.985,11.485,10.48,11.035,10.558375,274348885
IBE.MC,2022-06-01,11.03,11.115,9.304,9.896,9.468571,381527259
IBE.MC,2022-07-01,9.892,10.545,9.602,10.43,9.984156,242455386
IBE.MC,2022-08-01,10.43,11.15,10.325,10.385,10.211543,222351257
IBE.MC,2022-09-01,10.355,10.985,9.51,9.582,9.421955,281907118
IBE.MC,2022-10-01,9.588,10.28,9.09,10.275,10.103381,320726876
IBE.MC,2022-11-01,10.3,10.875,9.88,10.78,10.599945,276864771
IBE.MC,2022-12-01,10.8,11.155,10.655,10.93,10.74744,348556958
IBE.MC,2023-01-01,10.985,11.19,10.705,10.745,10.565531,307110796
