Stock,Date,Open,High,Low,Close,Adj Close,Volume
INVE-B.ST,2010-01-01,33.224998,34.25,32.200001,32.75,22.009741,163354956
INVE-B.ST,2010-02-01,32.625,33.474998,30.4,31.625,21.253683,188052764
INVE-B.ST,2010-03-01,31.775,35.349998,31.700001,34.625,23.269842,173069584
INVE-B.ST,2010-04-01,34.625,36.099998,33.174999,34.450001,23.152235,178392836
INVE-B.ST,2010-05-01,34.375,34.450001,30.025,31.674999,21.899429,193939952
INVE-B.ST,2010-06-01,31.65,34.174999,31.1,31.75,21.951283,156871932
INVE-B.ST,2010-07-01,31.424999,34.75,30.975,34.025002,23.524178,117671404
INVE-B.ST,2010-08-01,34,35.099998,31.15,31.9,22.054993,127702236
INVE-B.ST,2010-09-01,32.049999,34.549999,31.799999,34.224998,23.662445,153849056
INVE-B.ST,2010-10-01,34.25,35.525002,33.549999,34.275002,23.69702,142165068
INVE-B.ST,2010-11-01,34.375,35.099998,33.625,34.049999,23.541456,120423660
INVE-B.ST,2010-12-01,34.174999,36.775002,34.125,35.974998,24.872358,109340060
INVE-B.ST,2011-01-01,36.150002,38.049999,36.125,37.275002,25.771154,134443108
INVE-B.ST,2011-02-01,37.450001,37.650002,35.375,36.424999,25.183481,139835140
INVE-B.ST,2011-03-01,36.424999,38.75,35.099998,38.299999,26.479811,182693160
INVE-B.ST,2011-04-01,38.474998,39.724998,35.75,37.625,26.013134,155661412
INVE-B.ST,2011-05-01,37.674999,38.099998,36.5,36.974998,26.433842,119626268
INVE-B.ST,2011-06-01,37.125,37.200001,34.099998,36.25,25.915535,156404532
INVE-B.ST,2011-07-01,36.325001,37.75,33.775002,34.275002,24.503588,133949384
INVE-B.ST,2011-08-01,34.900002,35.025002,27.549999,31.25,22.340979,295856628
INVE-B.ST,2011-09-01,31.299999,31.75,27.625,30.475,21.786921,201929204
INVE-B.ST,2011-10-01,29.950001,33.799999,28.799999,32.025002,22.895035,180032168
INVE-B.ST,2011-11-01,31.299999,32.599998,28.65,31.4,22.448214,178156332
INVE-B.ST,2011-12-01,31.35,32.474998,30.35,32.075001,22.930782,142913680
INVE-B.ST,2012-01-01,32.099998,35.700001,31.9,34.424999,24.610823,164426948
INVE-B.ST,2012-02-01,34.474998,37.049999,34.450001,36.825001,26.326611,134158424
INVE-B.ST,2012-03-01,36.775002,38.025002,35.424999,36.674999,26.219368,128442040
INVE-B.ST,2012-04-01,36.724998,37.775002,32.325001,33.5,23.949532,146167032
INVE-B.ST,2012-05-01,33.5,34.049999,31.075001,31.700001,23.661045,123952396
INVE-B.ST,2012-06-01,31.75,32.924999,30.700001,32.924999,24.575394,105377672
INVE-B.ST,2012-07-01,33.049999,35.775002,32.974998,35.5,26.497381,107136048
INVE-B.ST,2012-08-01,35.5,36,34.099998,34.299999,25.601694,84471316
INVE-B.ST,2012-09-01,34.200001,37.200001,33.549999,36.150002,26.982546,99767544
INVE-B.ST,2012-10-01,35.950001,37.5,35.575001,36.575001,27.299772,96403700
INVE-B.ST,2012-11-01,36.400002,38.724998,35.25,38.525002,28.755262,105692492
INVE-B.ST,2012-12-01,38.625,42.575001,38.5,42.5,31.722223,132506172
INVE-B.ST,2013-01-01,42.5,45.25,42.424999,45.150002,33.700191,117703800
INVE-B.ST,2013-02-01,45,47.400002,44.625,47.375,35.36095,108835492
INVE-B.ST,2013-03-01,47.349998,48.125,46.549999,47.049999,35.118362,102081360
INVE-B.ST,2013-04-01,47.049999,48.424999,44.150002,47.75,35.640842,107088620
INVE-B.ST,2013-05-01,47.75,50.875,47.599998,48,37.181614,92146004
INVE-B.ST,2013-06-01,47.599998,48.700001,43.224998,45.075001,34.915855,93299676
INVE-B.ST,2013-07-01,45.125,49.900002,45,49.049999,37.994965,84488060
INVE-B.ST,2013-08-01,49.424999,50.599998,47.450001,47.75,36.987957,79275508
INVE-B.ST,2013-09-01,48,50.875,47.950001,48.75,37.762581,87049628
INVE-B.ST,2013-10-01,48.700001,53.299999,47.924999,52.049999,40.318813,87945880
INVE-B.ST,2013-11-01,52.099998,53.674999,50.625,53.575001,41.500107,75316552
INVE-B.ST,2013-12-01,53.575001,55.75,50.875,55.325001,42.855686,79514640
INVE-B.ST,2014-01-01,55.325001,55.625,52.450001,53.049999,41.09343,94587796
INVE-B.ST,2014-02-01,53,57.349998,51.099998,57.125,44.249996,84113892
INVE-B.ST,2014-03-01,55.924999,58.75,54.325001,58.549999,45.353828,87005776
INVE-B.ST,2014-04-01,58.599998,63.224998,57.775002,62.875,48.704044,94133300
INVE-B.ST,2014-05-01,62.875,66.099998,60.450001,65.650002,50.853607,93609632
INVE-B.ST,2014-06-01,65.875,66.199997,61.275002,62.674999,50.131168,80206740
INVE-B.ST,2014-07-01,62.700001,65.224998,61.349998,62.25,49.791229,69347872
INVE-B.ST,2014-08-01,62.25,64.875,58.325001,64.75,51.790874,77540704
INVE-B.ST,2014-09-01,64.800003,65.099998,62.075001,63.799999,51.03101,74450060
INVE-B.ST,2014-10-01,63.575001,66.050003,54.825001,66.050003,52.8307,128355012
INVE-B.ST,2014-11-01,66,70.375,65.199997,70.025002,56.010132,87418476
INVE-B.ST,2014-12-01,69.824997,72.150002,66.275002,71.175003,56.929981,85392244
INVE-B.ST,2015-01-01,71.175003,76.400002,66.650002,75.449997,60.349365,99786640
INVE-B.ST,2015-02-01,75.625,83.324997,74.349998,82.925003,66.328308,92901872
INVE-B.ST,2015-03-01,82.974998,87.574997,79.550003,85.925003,68.727882,114143640
INVE-B.ST,2015-04-01,85.724998,90.849998,82.900002,85.050003,68.028023,89476080
INVE-B.ST,2015-05-01,85.050003,86.699997,79.775002,84.175003,67.32814,101768200
INVE-B.ST,2015-06-01,84.525002,84.775002,75.074997,77.224998,63.504742,106603524
INVE-B.ST,2015-07-01,77.650002,85.925003,75.650002,83.224998,68.438744,85188948
INVE-B.ST,2015-08-01,83.175003,85,71.175003,76.224998,62.682411,105762156
INVE-B.ST,2015-09-01,75.400002,78.675003,69.675003,71.775002,59.023033,111165640
INVE-B.ST,2015-10-01,72.75,80.175003,71.525002,79.349998,65.252213,91379476
INVE-B.ST,2015-11-01,78.900002,82.925003,78.400002,82.599998,67.924805,80696372
INVE-B.ST,2015-12-01,83.25,84.900002,75.074997,78.150002,64.265419,113815776
INVE-B.ST,2016-01-01,78.150002,78.150002,67.849998,71.425003,58.73521,106224312
INVE-B.ST,2016-02-01,72.5,72.699997,64.199997,71.275002,58.611866,118536968
INVE-B.ST,2016-03-01,71.425003,74.199997,70.550003,71.849998,59.08469,96285108
INVE-B.ST,2016-04-01,71.25,77.974998,69.900002,73.675003,60.585464,96557596
INVE-B.ST,2016-05-01,73.800003,74.25,67.050003,72.550003,59.660339,95979236
INVE-B.ST,2016-06-01,72.574997,72.650002,65.175003,70.224998,59.846817,97780252
INVE-B.ST,2016-07-01,70.75,75.099998,66.925003,73.699997,62.808266,95799064
INVE-B.ST,2016-08-01,74.125,76.199997,70.625,75.5,64.342262,76226000
INVE-B.ST,2016-09-01,75.650002,78.824997,74.625,78.425003,66.834999,87543684
INVE-B.ST,2016-10-01,78.425003,81.800003,77.800003,80.275002,68.411583,89279192
INVE-B.ST,2016-11-01,80.5,80.824997,75.724998,77.875,66.366257,110165356
INVE-B.ST,2016-12-01,77.599998,86.400002,77.25,85.125,72.54483,103848328
INVE-B.ST,2017-01-01,84.75,89.5,83.650002,87.224998,74.33448,82168320
INVE-B.ST,2017-02-01,87.425003,91.775002,86.599998,89.5,76.273277,81297548
INVE-B.ST,2017-03-01,89.775002,94.675003,89.275002,94.300003,80.363907,100571076
INVE-B.ST,2017-04-01,94.5,101.599998,93.525002,101.224998,86.265495,87126780
INVE-B.ST,2017-05-01,101.224998,103.925003,98.425003,100.449997,85.605026,101904696
INVE-B.ST,2017-06-01,100.25,106.400002,100.099998,101.5,88.890549,81878264
INVE-B.ST,2017-07-01,101.75,103.5,95.525002,95.75,83.854881,80032684
INVE-B.ST,2017-08-01,96.025002,98.375,91.074997,92.900002,81.358948,77894748
INVE-B.ST,2017-09-01,93.025002,100.574997,91.025002,100.574997,88.080467,79190572
INVE-B.ST,2017-10-01,100.75,104.974998,100.675003,103.724998,90.839157,84682988
INVE-B.ST,2017-11-01,103.75,104.949997,97.724998,97.724998,85.584534,87758860
INVE-B.ST,2017-12-01,97.75,99.199997,93.25,93.525002,81.906296,82851972
INVE-B.ST,2018-01-01,93.525002,100.775002,92.925003,96.275002,84.314667,88632724
INVE-B.ST,2018-02-01,96.775002,98.175003,87,93.775002,82.125259,120306492
INVE-B.ST,2018-03-01,93.349998,95.724998,89.525002,92.300003,80.833488,109104436
INVE-B.ST,2018-04-01,92.300003,97.650002,89.699997,95.775002,83.876778,89270824
INVE-B.ST,2018-05-01,95.775002,98.425003,90.574997,91.400002,80.045288,109801680
INVE-B.ST,2018-06-01,92.050003,94.099998,87.675003,91.224998,81.549126,93628248
INVE-B.ST,2018-07-01,90.550003,96.199997,88.550003,95.849998,85.683563,69965056
INVE-B.ST,2018-08-01,96.050003,104.099998,95.125,103.175003,92.231628,81457416
INVE-B.ST,2018-09-01,103.150002,104.974998,100.224998,102.675003,91.784668,83221476
INVE-B.ST,2018-10-01,103.099998,104.625,93.099998,99.175003,88.655899,138361500
INVE-B.ST,2018-11-01,99.199997,99.824997,92.275002,99.675003,89.102867,102940532
INVE-B.ST,2018-12-01,100.75,101.224998,91.599998,93.900002,84.801537,90794964
INVE-B.ST,2019-01-01,93.900002,101.175003,91.525002,99.275002,89.655724,86561900
INVE-B.ST,2019-02-01,99.5,105.650002,99.324997,103.125,93.132675,86412540
INVE-B.ST,2019-03-01,103.5,106.525002,101.074997,104.675003,94.532494,81725512
INVE-B.ST,2019-04-01,105.099998,113.449997,105.012497,113.175003,102.208893,76410620
INVE-B.ST,2019-05-01,113.175003,113.449997,102.525002,102.574997,92.635971,92872536
INVE-B.ST,2019-06-01,102.275002,114.824997,101.400002,111.525002,102.804039,73150896
INVE-B.ST,2019-07-01,112.75,116.75,111.675003,115.150002,106.145561,61461896
INVE-B.ST,2019-08-01,114.349998,116.949997,105.724998,115.050003,106.053391,84980104
INVE-B.ST,2019-09-01,115.25,120.349998,114,120.275002,110.869804,74370688
INVE-B.ST,2019-10-01,120.400002,125.199997,113.875,123.625,113.957848,93173800
INVE-B.ST,2019-11-01,123.925003,129.350006,123.400002,126.550003,116.654114,74480344
INVE-B.ST,2019-12-01,126.75,131.399994,122.775002,127.800003,118.743942,70682472
INVE-B.ST,2020-01-01,127.800003,136.100006,127.800003,132.050003,122.692787,85013084
INVE-B.ST,2020-02-01,132.050003,142.149994,117.675003,119.324997,110.869484,107889700
INVE-B.ST,2020-03-01,121.150002,127.800003,92.525002,114.275002,106.177338,269166176
INVE-B.ST,2020-04-01,111.425003,124.599998,107.275002,122.800003,114.098251,130191192
INVE-B.ST,2020-05-01,122.800003,126.25,111.175003,125.25,116.374634,105404316
