Stock,Date,Open,High,Low,Close,Adj Close,Volume
LIN,2010-01-01,80.910004,82.940002,74.699997,75.32,57.407345,39160700
LIN,2010-02-01,76.010002,78.779999,73.110001,75.139999,57.270172,45879400
LIN,2010-03-01,75.470001,83.290001,74.910004,83,63.260902,39647200
LIN,2010-04-01,83.57,89,82.010002,83.769997,64.223251,42518000
LIN,2010-05-01,84.230003,84.400002,72.699997,77.599998,59.49295,55568100
LIN,2010-06-01,77.040001,83.269997,73.839996,75.989998,58.25861,50460000
LIN,2010-07-01,75.720001,87.410004,75.699997,86.82,66.947617,36773400
LIN,2010-08-01,87.739998,89.739998,84.519997,86.029999,66.338432,35472400
LIN,2010-09-01,87.18,91,85.239998,90.260002,69.600235,33414600
LIN,2010-10-01,90.860001,94.300003,88.599998,91.339996,70.79882,28122100
LIN,2010-11-01,91.800003,93.989998,90.040001,92.050003,71.349129,25364800
LIN,2010-12-01,93.010002,96.339996,92,95.470001,74.000031,27991400
LIN,2011-01-01,95.989998,95.989998,90.040001,93.040001,72.461792,32542600
LIN,2011-02-01,93.459999,99.379997,93.43,99.379997,77.399574,29328900
LIN,2011-03-01,99.779999,102.190002,94.480003,101.599998,79.12854,33242900
LIN,2011-04-01,101.989998,108.449997,99.980003,106.419998,83.307602,28061000
LIN,2011-05-01,106.910004,107.239998,101.709999,105.839996,82.853561,27928400
LIN,2011-06-01,105.459999,108.510002,99.550003,108.389999,84.849762,33079000
LIN,2011-07-01,108.260002,111.739998,100.849998,103.639999,81.526543,31215600
LIN,2011-08-01,103.980003,104.459999,88.639999,98.489998,77.475388,61235300
LIN,2011-09-01,98.550003,102.32,91.870003,93.480003,73.534386,37817500
LIN,2011-10-01,92.790001,106.449997,89.75,101.669998,80.386208,41126300
LIN,2011-11-01,99.510002,102.610001,93.459999,102,80.647148,33044100
LIN,2011-12-01,101.940002,107.82,100.190002,106.900002,84.521355,33538500
LIN,2012-01-01,108.519997,111.209999,103.529999,106.199997,84.387909,28727300
LIN,2012-02-01,106.690002,110.400002,105.68,109,86.612831,23241100
LIN,2012-03-01,109.699997,114.889999,106.5,114.639999,91.094437,22792500
LIN,2012-04-01,114.580002,116.93,109.620003,115.699997,92.399979,22603400
LIN,2012-05-01,115.870003,116.870003,104.860001,106.239998,84.8451,29610500
LIN,2012-06-01,103.470001,108.779999,101.919998,108.730003,86.833633,23292800
LIN,2012-07-01,108.900002,110.279999,100,103.760002,83.305161,21773900
LIN,2012-08-01,103.949997,109.589996,102.660004,105.5,84.702118,23505200
LIN,2012-09-01,105.260002,109.410004,103.290001,103.879997,83.401482,20776400
LIN,2012-10-01,104.230003,108.389999,102.790001,106.209999,85.724518,22925500
LIN,2012-11-01,106.160004,110.919998,104.279999,107.209999,86.531654,24928200
LIN,2012-12-01,107.690002,110.690002,104.980003,109.449997,88.339607,19818200
LIN,2013-01-01,110.940002,114.639999,109.379997,110.370003,89.548042,24808900
LIN,2013-02-01,111,113.529999,109.080002,113.050003,91.722488,22790300
LIN,2013-03-01,112.870003,114.529999,110.580002,111.540001,90.497314,22195600
LIN,2013-04-01,111.82,114.669998,107.690002,114.300003,93.232109,29404000
LIN,2013-05-01,114.110001,116.900002,112.660004,114.330002,93.256584,22987800
LIN,2013-06-01,114.529999,120.160004,112.779999,115.160004,93.933578,28891100
LIN,2013-07-01,116.099998,121.82,113.199997,120.169998,98.526894,31484300
LIN,2013-08-01,121.620003,121.860001,115.790001,117.400002,96.255791,21149200
LIN,2013-09-01,118.760002,124.410004,116.379997,120.209999,98.559677,21199000
LIN,2013-10-01,119.879997,128.119995,117.540001,124.709999,102.774162,18357900
LIN,2013-11-01,125.169998,127.339996,123.269997,126.260002,104.051537,16923100
LIN,2013-12-01,126.110001,130.580002,122.339996,130.029999,107.158401,19789000
LIN,2014-01-01,129.139999,134.229996,123.610001,124.720001,103.281181,29075000
LIN,2014-02-01,124.870003,131.149994,121.220001,130.369995,107.959953,24828400
LIN,2014-03-01,129.710007,135.240005,128.550003,130.970001,108.456802,26014000
LIN,2014-04-01,132.559998,133.240005,126.470001,130.550003,108.648132,25316300
LIN,2014-05-01,130.830002,132.619995,129.380005,132.240005,110.054619,16164400
LIN,2014-06-01,132,134.839996,130.199997,132.839996,110.553955,17932100
LIN,2014-07-01,133.279999,133.649994,128.029999,128.139999,107.163513,20194700
LIN,2014-08-01,127.699997,131.979996,126.580002,131.550003,110.015289,16852300
LIN,2014-09-01,131.820007,134.059998,128.990005,129,107.882721,24842800
LIN,2014-10-01,128.809998,129.289993,117.32,125.989998,105.885948,42571300
