Stock,Date,Open,High,Low,Close,Adj Close,Volume
MSFT,2010-01-01,30.620001,31.24,27.66,28.18,21.462658,1359650900
MSFT,2010-02-01,28.389999,29.030001,27.57,28.67,21.835861,1074643300
MSFT,2010-03-01,28.77,30.57,28.24,29.290001,22.412384,1110237200
MSFT,2010-04-01,29.35,31.58,28.620001,30.540001,23.36887,1319029500
MSFT,2010-05-01,30.67,31.059999,24.559999,25.799999,19.741882,1720130200
MSFT,2010-06-01,25.530001,26.93,22.950001,23.01,17.686449,1671811600
MSFT,2010-07-01,23.09,26.41,22.73,25.809999,19.838648,1408590600
MSFT,2010-08-01,25.99,26.379999,23.32,23.469999,18.040022,1279372100
MSFT,2010-09-01,23.67,25.530001,23.540001,24.49,18.924454,1273139500
MSFT,2010-10-01,24.77,27.200001,23.780001,26.67,20.609028,1281432800
MSFT,2010-11-01,26.879999,28.870001,24.93,25.26,19.519463,1361176300
MSFT,2010-12-01,25.57,28.4,25.559999,27.91,21.699745,1033710000
MSFT,2011-01-01,28.049999,29.459999,27.42,27.73,21.559795,1361258700
MSFT,2011-02-01,27.799999,28.34,26.43,26.58,20.665686,1114368500
MSFT,2011-03-01,26.6,26.780001,24.68,25.389999,19.857149,1310885200
MSFT,2011-04-01,25.530001,26.870001,24.719999,25.92,20.271656,1313844800
MSFT,2011-05-01,25.940001,26.25,24.030001,25.01,19.559959,1364062800
MSFT,2011-06-01,24.99,26,23.65,26,20.467505,1297757600
MSFT,2011-07-01,25.93,28.15,25.84,27.4,21.569601,1259328200
MSFT,2011-08-01,27.51,27.690001,23.790001,26.6,20.939835,1719339500
MSFT,2011-09-01,26.459999,27.5,24.6,24.889999,19.717369,1279920200
MSFT,2011-10-01,24.719999,27.5,24.26,26.629999,21.09576,1218142500
MSFT,2011-11-01,26.190001,27.200001,24.299999,25.58,20.263973,1046207400
MSFT,2011-12-01,25.559999,26.190001,25.16,25.959999,20.719858,1007166600
MSFT,2012-01-01,26.549999,29.950001,26.389999,29.530001,23.569241,1354858100
MSFT,2012-02-01,29.790001,32,29.709999,31.74,25.333149,984332300
MSFT,2012-03-01,31.93,32.950001,31.49,32.259998,25.917685,942366500
MSFT,2012-04-01,32.220001,32.889999,30.23,32.02,25.724869,940739700
MSFT,2012-05-01,32.049999,32.34,28.639999,29.190001,23.45125,1014372600
MSFT,2012-06-01,28.76,31.139999,28.32,30.59,24.737274,973131400
MSFT,2012-07-01,30.620001,31.049999,28.540001,29.469999,23.831549,846604100
MSFT,2012-08-01,29.59,30.959999,28.969999,30.82,24.923265,671748400
MSFT,2012-09-01,30.450001,31.610001,29.74,29.76,24.225498,893107700
MSFT,2012-10-01,29.809999,30.25,27.76,28.540001,23.232388,1105402300
MSFT,2012-11-01,28.84,30.200001,26.34,26.620001,21.669451,1310516100
MSFT,2012-12-01,26.780001,27.73,26.26,26.709999,21.921373,947310900
MSFT,2013-01-01,27.25,28.23,26.280001,27.450001,22.528709,1145054400
MSFT,2013-02-01,27.67,28.200001,27.1,27.799999,22.815958,780587000
MSFT,2013-03-01,27.719999,28.66,27.52,28.610001,23.675144,844946000
MSFT,2013-04-01,28.639999,33.110001,28.110001,33.099998,27.390676,1465757200
MSFT,2013-05-01,32.93,35.279999,32.32,34.900002,28.880205,1071860000
MSFT,2013-06-01,34.919998,35.779999,32.57,34.540001,28.782724,945155500
MSFT,2013-07-01,34.75,36.43,31.02,31.84,26.53277,1111130600
MSFT,2013-08-01,32.060001,35.200001,30.84,33.400002,27.832745,1051265000
MSFT,2013-09-01,31.75,33.75,30.950001,33.279999,27.928162,1242961500
MSFT,2013-10-01,33.349998,36.290001,32.799999,35.41,29.715631,965331500
MSFT,2013-11-01,35.669998,38.290001,35.389999,38.130001,31.998228,800431600
MSFT,2013-12-01,38.09,38.98,35.529999,37.41,31.632101,826617700
MSFT,2014-01-01,37.349998,37.889999,34.630001,37.84,31.995687,930226200
MSFT,2014-02-01,37.740002,38.459999,35.689999,38.310001,32.393097,705304500
MSFT,2014-03-01,37.919998,41.5,37.490002,40.990002,34.919083,778425700
MSFT,2014-04-01,41.150002,41.66,38.900002,40.400002,34.416462,746112500
MSFT,2014-05-01,40.240002,40.970001,38.509998,40.939999,34.876472,574362900
MSFT,2014-06-01,40.950001,42.290001,39.860001,41.700001,35.774525,555767300
MSFT,2014-07-01,41.860001,45.709999,41.049999,43.16,37.027061,731616500
