Stock,Date,Open,High,Low,Close,Adj Close,Volume
NTGY.MC,2010-01-01,15.085,15.67,14.21,14.415,6.097136,108684843
NTGY.MC,2010-02-01,14.35,14.545,12.92,13.47,5.829648,66088059
NTGY.MC,2010-03-01,13.545,14.2,13.41,13.67,5.916206,45973794
NTGY.MC,2010-04-01,13.8,14.03,12.2,12.88,5.574305,50591361
NTGY.MC,2010-05-01,12.975,12.975,11.225,11.905,5.152336,71546568
NTGY.MC,2010-06-01,11.85,13.37,11.5,11.9,5.150171,87383204
NTGY.MC,2010-07-01,11.44,13.285,11.325,12.83,5.552665,84815844
NTGY.MC,2010-08-01,12.95,13.45,11.45,11.935,5.363638,55088661
NTGY.MC,2010-09-01,11.985,12.31,10.7,10.935,4.914235,168592681
NTGY.MC,2010-10-01,10.92,11.01,10.065,10.52,4.727733,82710416
NTGY.MC,2010-11-01,10.595,11.175,10.215,10.41,4.678298,90905328
NTGY.MC,2010-12-01,10.495,11.81,10.46,11.49,5.163654,93943926
NTGY.MC,2011-01-01,11.55,12.365,10.2,12.07,5.424308,130024318
NTGY.MC,2011-02-01,12.08,12.85,11.84,12.38,5.748674,63618048
NTGY.MC,2011-03-01,12.465,13.45,11.81,13.255,6.154982,74527866
NTGY.MC,2011-04-01,13.295,13.99,13.02,13.88,6.445202,46798789
NTGY.MC,2011-05-01,13.99,14.07,12.8,13.2,6.129441,58447817
NTGY.MC,2011-06-01,13.35,14.475,12.83,14.445,6.942795,75557281
NTGY.MC,2011-07-01,14.5,15,13.46,14.035,6.745733,75419673
NTGY.MC,2011-08-01,14.14,14.24,11.6,12.74,6.12331,88003667
NTGY.MC,2011-09-01,12.77,12.915,10.865,12.78,6.142537,58206982
NTGY.MC,2011-10-01,12.49,13.98,12.17,13.485,6.481382,40363049
NTGY.MC,2011-11-01,13.25,13.425,11.705,12.94,6.219436,44922557
NTGY.MC,2011-12-01,12.975,13.495,12.425,13.265,6.375644,88529503
NTGY.MC,2012-01-01,13.39,13.75,12.32,12.5,6.007956,105238237
NTGY.MC,2012-02-01,12.5,13.165,12.43,12.7,6.277098,40820329
NTGY.MC,2012-03-01,12.66,12.98,11.72,11.98,5.921231,43491639
NTGY.MC,2012-04-01,11.945,12.11,10.045,10.52,5.199612,43254327
NTGY.MC,2012-05-01,10.52,10.635,8.68,8.778,4.338612,84416123
NTGY.MC,2012-06-01,8.79,10.105,8.587,10.105,5.260662,47627532
NTGY.MC,2012-07-01,10.045,10.3,8.36,10.025,5.219015,42937432
NTGY.MC,2012-08-01,10.1,10.95,9.507,9.806,5.105001,30963377
NTGY.MC,2012-09-01,9.858,12.475,9.72,11.015,5.734408,44102254
NTGY.MC,2012-10-01,11.19,12.175,11.05,11.97,6.231581,43886474
NTGY.MC,2012-11-01,11.895,12.38,11.63,11.935,6.213359,45618394
NTGY.MC,2012-12-01,12,13.97,11.92,13.58,7.069749,51968152
NTGY.MC,2013-01-01,13.58,15.08,13.22,14.705,7.655421,145578920
NTGY.MC,2013-02-01,14.62,15.48,14.11,15.195,8.135888,53729616
NTGY.MC,2013-03-01,15.235,15.85,13.55,13.81,7.394314,53112600
NTGY.MC,2013-04-01,13.81,16.1,13.59,15.9,8.513368,61737132
NTGY.MC,2013-05-01,15.9,16.6,15.5,15.99,8.561554,45062624
NTGY.MC,2013-06-01,15.86,16.32,14.94,15.49,8.29384,115347241
NTGY.MC,2013-07-01,15.08,15.7,13.78,15.3,8.192108,123482861
NTGY.MC,2013-08-01,15.415,15.83,14.745,14.82,8.201421,28868838
NTGY.MC,2013-09-01,14.85,15.765,14.38,15.43,8.539,44787722
NTGY.MC,2013-10-01,15.43,17.65,15.365,17.370001,9.612598,43261392
NTGY.MC,2013-11-01,17.355,18.57,17.24,18.32,10.13833,39594622
NTGY.MC,2013-12-01,18.200001,18.795,17.02,18.695,10.345852,40232668
NTGY.MC,2014-01-01,18.695,19.285,17.934999,18.355,10.157699,127088581
NTGY.MC,2014-02-01,18.455,19.08,17.83,18.594999,10.508213,27969195
NTGY.MC,2014-03-01,18.389999,20.6,18.225,20.41,11.533888,50709528
NTGY.MC,2014-04-01,20.365,20.959999,19.65,20.665001,11.677989,36189179
NTGY.MC,2014-05-01,20.665001,21.26,20.1,21.145,11.949244,94847206
NTGY.MC,2014-06-01,21.209999,23.559999,21.055,23.065001,13.034252,96616472
NTGY.MC,2014-07-01,22.700001,23.344999,21.725,22.955,12.972092,92919195
NTGY.MC,2014-08-01,22.855,23.540001,21.495001,23.334999,13.481419,23135405
NTGY.MC,2014-09-01,23.355,24.445,22.860001,23.309999,13.466974,34019881
NTGY.MC,2014-10-01,23.254999,23.450001,20.135,23.01,13.293656,47210548
NTGY.MC,2014-11-01,22.955,23.219999,21.915001,22.780001,13.160777,41594132
NTGY.MC,2014-12-01,22.65,23.129999,19.700001,20.809999,12.022639,40481516
NTGY.MC,2015-01-01,20.809999,21.705,18.59,20.799999,12.016863,133765247
NTGY.MC,2015-02-01,20.895,21.65,20.004999,21.594999,12.733695,59466718
NTGY.MC,2015-03-01,21.66,21.84,20.440001,20.915001,12.332723,62541602
NTGY.MC,2015-04-01,20.790001,22.6,20.775,21.955,12.945967,50831627
NTGY.MC,2015-05-01,21.955,22.895,20.860001,22.395,13.20542,38954430
NTGY.MC,2015-06-01,22.495001,22.635,20.325001,20.34,11.99367,83991941
NTGY.MC,2015-07-01,20,21.209999,19.219999,19.785,11.666407,81769227
NTGY.MC,2015-08-01,19.799999,20.4,17.719999,18.1,10.947874,41998531
NTGY.MC,2015-09-01,17.92,18.74,16.76,17.43,10.542624,53779846
NTGY.MC,2015-10-01,17.549999,20.084999,17.549999,19.709999,11.921689,64285721
NTGY.MC,2015-11-01,19.625,20.559999,18.860001,20.475,12.384405,51649812
NTGY.MC,2015-12-01,20.475,20.559999,18.15,18.815001,11.380347,71987652
NTGY.MC,2016-01-01,18.815001,18.815001,16.83,18.014999,10.896461,102325255
NTGY.MC,2016-02-01,18.190001,18.325001,15.065,16.125,9.975026,79497973
NTGY.MC,2016-03-01,16.045,18.139999,16.045,17.77,10.992633,62267634
NTGY.MC,2016-04-01,17.52,18.645,16.844999,18.165001,11.236985,47262029
NTGY.MC,2016-05-01,18.299999,18.355,16.535,17.790001,11.005007,42318764
NTGY.MC,2016-06-01,17.745001,18.125,14.685,17.665001,10.927679,61793263
NTGY.MC,2016-07-01,17.790001,18.805,17.200001,18.504999,11.887001,35891029
NTGY.MC,2016-08-01,18.58,18.940001,17.945,18.504999,11.887001,24934047
NTGY.MC,2016-09-01,18.625,19.715,17.719999,18.295,11.752107,66296722
NTGY.MC,2016-10-01,18.290001,18.315001,17.33,17.975,11.762616,36803773
NTGY.MC,2016-11-01,18.145,18.145,15.94,16.15,10.568357,29831560
NTGY.MC,2016-12-01,16.105,17.91,15.95,17.91,11.720081,30357717
NTGY.MC,2017-01-01,17.924999,18.045,17.055,17.82,11.661183,26396786
NTGY.MC,2017-02-01,17.92,18.49,17.459999,18.375,12.02437,28443219
NTGY.MC,2017-03-01,18.434999,20.540001,18.285,20.540001,13.441119,36561012
NTGY.MC,2017-04-01,20.540001,21.15,19.75,20.76,13.585082,29460310
NTGY.MC,2017-05-01,20.76,22.455,20.379999,22.42,14.671366,33060983
NTGY.MC,2017-06-01,22.41,22.495001,20.49,20.49,13.408399,104853093
NTGY.MC,2017-07-01,20.4,20.950001,19.35,19.790001,13.358838,34792512
NTGY.MC,2017-08-01,19.924999,20.530001,19.795,20.42,14.016602,17981024
NTGY.MC,2017-09-01,20.424999,20.540001,18.559999,18.73,12.856558,113916972
NTGY.MC,2017-10-01,18.565001,18.825001,17.85,18.370001,12.832086,38572157
NTGY.MC,2017-11-01,18.485001,19.040001,17.855,18.780001,13.118484,33888551
NTGY.MC,2017-12-01,18.785,19.77,18.434999,19.25,13.446798,28055650
NTGY.MC,2018-01-01,19.25,20.870001,18.184999,18.605,12.996243,43968413
NTGY.MC,2018-02-01,18.82,19.200001,17.51,18.815001,13.142937,47739928
NTGY.MC,2018-03-01,18.76,19.700001,18.209999,19.389999,13.544592,27974704
NTGY.MC,2018-04-01,19.389999,21.049999,19.209999,20.91,14.606365,17712549
NTGY.MC,2018-05-01,20.91,22.59,20.709999,20.99,14.662247,28901625
NTGY.MC,2018-06-01,20.83,22.91,20.75,22.68,15.842772,60982156
NTGY.MC,2018-07-01,22.66,23.809999,21.85,23.18,16.709629,93785436
NTGY.MC,2018-08-01,23.18,23.57,22.84,23.129999,17.386877,31670174
NTGY.MC,2018-09-01,23.1,23.99,23,23.51,17.672522,30954038
NTGY.MC,2018-10-01,23.559999,24.33,21.41,21.719999,16.326975,32303355
NTGY.MC,2018-11-01,21.75,23.27,21.540001,21.85,16.424694,107959002
NTGY.MC,2018-12-01,22.16,23.65,21.459999,22.26,17.076565,26070599
NTGY.MC,2019-01-01,22.26,24.43,21.809999,24.35,18.679886,22004409
NTGY.MC,2019-02-01,24.299999,24.49,23.559999,23.870001,18.311661,21936309
NTGY.MC,2019-03-01,24,25.190001,23.6,24.93,19.124832,34449837
NTGY.MC,2019-04-01,25.049999,25.6,24.360001,25.32,19.883614,17837655
NTGY.MC,2019-05-01,25.32,27.110001,25.190001,25.530001,20.048527,32329832
NTGY.MC,2019-06-01,25.290001,26.1,24.23,24.23,19.027645,30805087
NTGY.MC,2019-07-01,24.360001,24.959999,22.129999,22.9,17.983204,35515394
NTGY.MC,2019-08-01,22.879999,24.08,22.870001,23.799999,18.931393,19552595
NTGY.MC,2019-09-01,24,24.610001,22.6,24.34,19.360933,28093465
NTGY.MC,2019-10-01,24.35,24.98,23.35,24.41,19.416609,25772873
NTGY.MC,2019-11-01,24.48,24.66,23.379999,23.6,18.77231,32735833
NTGY.MC,2019-12-01,23.639999,23.68,22.370001,22.4,18.170752,25411600
NTGY.MC,2020-01-01,22.4,23.959999,22.059999,23.799999,19.306421,24861261
NTGY.MC,2020-02-01,23.780001,24.76,20.76,21.030001,17.059412,31619658
NTGY.MC,2020-03-01,21.34,21.690001,13.805,16.115,13.072393,67256292
NTGY.MC,2020-04-01,16.1,16.575001,14.72,16.110001,13.535686,34986475
NTGY.MC,2020-05-01,16.110001,17.065001,15.3,16.695,14.027205,30865409
NTGY.MC,2020-06-01,16.934999,17.924999,15.965,16.565001,13.917976,37770722
NTGY.MC,2020-07-01,16.514999,17.549999,15.74,15.74,13.232736,36818444
NTGY.MC,2020-08-01,15.74,16.885,15.43,16.16,13.843503,21331606
NTGY.MC,2020-09-01,16.290001,17.875,16.09,17.120001,14.66589,23745035
NTGY.MC,2020-10-01,17.254999,18.344999,15.665,15.95,13.663606,23209224
NTGY.MC,2020-11-01,16.004999,20.129999,15.94,19.334999,16.563372,38957832
NTGY.MC,2020-12-01,19.455,19.540001,17.950001,18.959999,16.725237,22808844
NTGY.MC,2021-01-01,18.959999,22.709999,18.795,21.309999,18.79825,24864669
NTGY.MC,2021-02-01,21.35,21.690001,19.9,20.709999,18.268969,20163599
NTGY.MC,2021-03-01,20.809999,21.57,20.530001,20.9,18.436575,51462931
NTGY.MC,2021-04-01,20.860001,21.57,20.629999,21.33,19.387171,13551779
NTGY.MC,2021-05-01,21.32,22.139999,21.08,21.43,19.478064,13935778
NTGY.MC,2021-06-01,21.459999,22.07,21.23,21.68,19.705292,16614559
NTGY.MC,2021-07-01,21.77,22.67,21.67,21.790001,19.805275,17822847
NTGY.MC,2021-08-01,21.59,22.15,21.27,21.799999,19.814362,10638644
NTGY.MC,2021-09-01,21.879999,22.129999,21.379999,21.75,20.044889,33544317
NTGY.MC,2021-10-01,21.6,24.870001,21.41,22.73,20.948061,40195827
NTGY.MC,2021-11-01,22.74,24.870001,22.24,24.299999,22.394979,20601018
NTGY.MC,2021-12-01,24.280001,29.139999,24.02,28.629999,26.85232,14809625
