Stock,Date,Open,High,Low,Close,Adj Close,Volume
SAN,2010-01-01,16.780001,17.549999,13.87,14.08,6.27252,65730700
SAN,2010-02-01,14.46,14.99,12.36,13.04,5.87888,132505900
SAN,2010-03-01,12.93,14.41,12.86,13.27,5.982572,104148700
SAN,2010-04-01,13.54,14.8,11.75,12.34,5.563296,136874600
SAN,2010-05-01,12.19,12.32,9.17,10.15,4.689598,432862500
SAN,2010-06-01,9.9,11.79,8.65,10.5,4.851307,296949800
SAN,2010-07-01,10.99,13.59,10.63,12.77,5.900115,227282900
SAN,2010-08-01,13.37,13.75,11.2,11.69,5.467148,151841000
SAN,2010-09-01,12.08,13.1,12.04,12.66,5.920795,115463800
SAN,2010-10-01,12.64,13.52,12.37,12.81,5.990948,127505700
SAN,2010-11-01,12.54,12.62,9.43,9.62,4.556983,244531200
SAN,2010-12-01,10.26,11.28,10.15,10.65,5.044893,198264900
SAN,2011-01-01,10.69,12.49,9.62,12.24,5.798075,330723300
SAN,2011-02-01,12.47,12.72,11.7,12.3,5.92229,158802200
SAN,2011-03-01,12.24,12.28,10.92,11.71,5.638213,179323700
SAN,2011-04-01,11.8,12.57,11.3,12.4,5.970438,107944400
SAN,2011-05-01,12.48,12.49,10.85,11.89,5.87674,124476100
SAN,2011-06-01,11.67,11.88,10.55,11.51,5.688921,188166800
SAN,2011-07-01,11.63,11.89,9.98,10.21,5.046384,207533000
SAN,2011-08-01,10.29,10.31,8,9.28,4.670197,275136500
SAN,2011-09-01,8.96,9.2,7.15,8.04,4.046162,174533100
SAN,2011-10-01,7.95,9.33,7.54,8.56,4.307854,139079800
SAN,2011-11-01,7.96,8.3,6.77,7.48,3.84208,127695200
SAN,2011-12-01,7.47,8.01,7.06,7.52,3.862626,98694600
SAN,2012-01-01,7.7,8.22,6.83,7.88,4.047539,118676400
SAN,2012-02-01,8.13,8.85,8.07,8.3,4.359685,87025300
SAN,2012-03-01,8.41,8.62,7.5,7.67,4.02877,145393800
SAN,2012-04-01,7.47,7.78,6.08,6.33,3.324918,265188600
SAN,2012-05-01,6.34,6.45,5.19,5.32,2.916476,249931200
SAN,2012-06-01,5.31,6.6,5.25,6.56,3.596257,148978000
SAN,2012-07-01,6.57,6.7,4.88,5.96,3.267332,146811400
SAN,2012-08-01,6.04,7.09,5.57,7.04,4.090947,119824800
SAN,2012-09-01,7.16,8.29,7.08,7.46,4.335009,97632800
SAN,2012-10-01,7.54,8.03,7.18,7.46,4.335009,64601400
SAN,2012-11-01,7.53,7.73,6.85,7.66,4.570703,55859900
SAN,2012-12-01,7.69,8.2,7.34,8.17,4.875019,61669700
SAN,2013-01-01,8.27,8.86,8.14,8.18,4.880988,73236000
SAN,2013-02-01,8.14,8.27,7.31,7.58,4.63293,116817400
SAN,2013-03-01,7.38,7.81,6.58,6.81,4.162303,125394400
SAN,2013-04-01,6.88,7.38,6.66,7.25,4.431232,149643700
SAN,2013-05-01,7.04,7.47,6.87,7.2,4.531676,144437700
SAN,2013-06-01,7.22,7.41,6.31,6.47,4.072215,175373700
SAN,2013-07-01,6.6,7.39,6.35,7.32,4.607204,132359100
SAN,2013-08-01,7.32,7.81,7.07,7.11,4.610512,119584400
SAN,2013-09-01,7.21,8.25,7.13,8.17,5.297874,120302600
SAN,2013-10-01,8.27,9.32,8.25,8.91,5.77773,164797700
SAN,2013-11-01,8.86,9.01,8.46,8.94,5.937873,95635500
SAN,2013-12-01,8.86,9.09,8.31,9.07,6.024218,114935200
SAN,2014-01-01,8.84,9.4,8.52,8.64,5.738613,150552400
SAN,2014-02-01,8.59,9.26,8.35,9.05,6.149977,92079800
SAN,2014-03-01,8.86,9.67,8.76,9.58,6.510141,117107200
SAN,2014-04-01,9.8,10,9.47,9.96,6.768372,103114300
SAN,2014-05-01,10,10.25,9.8,10.22,7.092915,118867000
SAN,2014-06-01,10.24,10.75,10.15,10.42,7.231717,155777600
SAN,2014-07-01,10.49,10.66,9.7,9.97,6.919412,144581500
SAN,2014-08-01,9.98,10.14,9.4,9.92,7.023145,125932100
SAN,2014-09-01,9.96,10.29,9.43,9.5,6.725793,163046500
SAN,2014-10-01,9.53,9.55,8.15,8.77,6.208971,282467900
SAN,2014-11-01,8.7,8.96,8.1,8.9,6.435859,217550200
SAN,2014-12-01,8.89,9.05,8.12,8.33,6.023676,218120700
SAN,2015-01-01,8.47,8.5,6.62,6.69,4.837742,363921300
SAN,2015-02-01,6.63,7.42,6.61,7.28,5.396551,145489100
SAN,2015-03-01,7.3,7.56,6.7,7.45,5.522567,150582600
SAN,2015-04-01,7.54,7.79,6.94,7.52,5.574459,128442200
SAN,2015-05-01,7.49,7.66,7.04,7.1,5.380076,116146100
SAN,2015-06-01,7.08,7.72,6.95,7.01,5.311879,158855000
SAN,2015-07-01,7.1,7.34,6.54,6.81,5.160326,148545000
SAN,2015-08-01,6.85,6.92,5.88,6.09,4.651429,144369700
SAN,2015-09-01,5.96,6.01,5.11,5.28,4.032766,121456500
SAN,2015-10-01,5.3,6.06,5.21,5.54,4.231349,132072300
SAN,2015-11-01,5.64,5.8,5.22,5.4,4.165859,107194100
SAN,2015-12-01,5.45,5.49,4.81,4.87,3.756989,145918100
SAN,2016-01-01,4.79,4.8,3.98,4.19,3.232399,127820600
SAN,2016-02-01,4.13,4.19,3.69,3.99,3.118084,117206600
SAN,2016-03-01,4.04,4.99,4.02,4.36,3.407229,144356200
SAN,2016-04-01,4.3,5.22,3.98,5.03,3.930817,137857200
SAN,2016-05-01,5.03,5.04,4.48,4.75,3.753224,100938500
SAN,2016-06-01,4.63,4.8,3.6,3.92,3.097398,262302000
SAN,2016-07-01,3.94,4.32,3.63,4.24,3.350246,151911000
SAN,2016-08-01,4.18,4.51,3.89,4.48,3.592951,113312400
SAN,2016-09-01,4.55,4.75,4.19,4.41,3.536811,129807100
SAN,2016-10-01,4.4,4.91,4.23,4.84,3.88167,104630500
SAN,2016-11-01,4.88,4.95,4.4,4.52,3.666697,129770500
SAN,2016-12-01,4.55,5.25,4.5,5.18,4.202101,119827800
SAN,2017-01-01,5.27,5.72,5.25,5.56,4.510363,80013100
SAN,2017-02-01,5.58,5.74,5.25,5.41,4.436182,97915600
SAN,2017-03-01,5.54,6.23,5.45,6.07,4.97738,138412500
SAN,2017-04-01,6.05,6.63,5.74,6.52,5.346378,197455900
SAN,2017-05-01,6.55,6.99,6.31,6.54,5.411077,156759800
SAN,2017-06-01,6.47,6.93,6.34,6.69,5.535183,207586300
SAN,2017-07-01,6.79,6.88,6.5,6.82,5.642744,115501300
SAN,2017-08-01,6.85,6.91,6.38,6.51,5.386256,104825800
SAN,2017-09-01,6.52,6.94,6.29,6.94,5.800718,95111300
SAN,2017-10-01,6.71,6.85,6.45,6.74,5.63355,142269300
SAN,2017-11-01,6.75,6.78,6.37,6.69,5.637163,72984800
SAN,2017-12-01,6.66,6.76,6.41,6.54,5.510769,74156800
SAN,2018-01-01,6.55,7.57,6.48,7.41,6.243854,99101000
SAN,2018-02-01,7.36,7.42,6.51,6.87,5.845252,201567600
SAN,2018-03-01,6.85,6.89,6.33,6.55,5.572984,161707100
SAN,2018-04-01,6.55,6.82,6.35,6.52,5.547459,115445400
SAN,2018-05-01,6.51,6.62,5.25,5.46,4.645571,148079200
SAN,2018-06-01,5.57,5.74,5.26,5.34,4.5954,169433500
SAN,2018-07-01,5.3,5.66,5.27,5.59,4.810541,209349900
SAN,2018-08-01,5.57,5.58,4.88,4.99,4.352496,151727800
SAN,2018-09-01,4.92,5.43,4.82,5,4.361218,118988800
SAN,2018-10-01,5.03,5.09,4.5,4.78,4.169325,215514100
SAN,2018-11-01,4.84,4.99,4.63,4.76,4.185911,172193600
SAN,2018-12-01,4.86,4.88,4.21,4.48,3.939682,192150400
SAN,2019-01-01,4.4,5.03,4.4,4.74,4.168324,130879100
SAN,2019-02-01,4.65,4.89,4.47,4.86,4.339602,154377000
SAN,2019-03-01,4.89,5.12,4.54,4.63,4.134231,168385200
SAN,2019-04-01,4.72,5.25,4.71,4.99,4.455682,190462200
SAN,2019-05-01,4.98,5.02,4.33,4.33,3.924108,229521300
SAN,2019-06-01,4.35,4.6,4.33,4.58,4.150673,188094900
SAN,2019-07-01,4.67,4.74,4.21,4.24,3.842544,197644900
SAN,2019-08-01,4.22,4.25,3.73,3.75,3.398476,356304800
SAN,2019-09-01,3.69,4.19,3.65,4.02,3.643167,272218100
SAN,2019-10-01,4.02,4.42,3.77,3.96,3.588791,209823300
SAN,2019-11-01,3.99,4.22,3.85,3.87,3.597582,139217200
SAN,2019-12-01,3.84,4.2,3.77,4.14,3.848576,147516400
SAN,2020-01-01,4.28,4.32,3.79,3.92,3.644062,188251900
SAN,2020-02-01,3.9,4.26,3.55,3.66,3.402364,193080000
SAN,2020-03-01,3.58,3.73,2.04,2.35,2.184578,330550900
SAN,2020-04-01,2.3,2.5,2.01,2.17,2.017249,148601900
SAN,2020-05-01,2.17,2.39,1.9,2.27,2.11021,207038800
SAN,2020-06-01,2.29,2.95,2.28,2.41,2.240355,226610600
SAN,2020-07-01,2.4,2.64,2.1,2.11,1.961472,204266100
SAN,2020-08-01,2.13,2.4,2.11,2.23,2.073025,153186900
SAN,2020-09-01,2.2,2.28,1.78,1.85,1.719774,218478000
SAN,2020-10-01,1.86,2.1,1.81,2.01,1.868511,157698600
SAN,2020-11-01,2.06,2.94,2.03,2.82,2.621494,231372800
SAN,2020-12-01,2.98,3.42,2.9,3.05,2.835303,202205300
SAN,2021-01-01,3.12,3.47,2.92,2.93,2.723751,146756900
SAN,2021-02-01,2.97,3.7,2.92,3.51,3.262923,151991200
SAN,2021-03-01,3.51,3.69,3.31,3.43,3.188555,138534900
SAN,2021-04-01,3.39,3.86,3.31,3.81,3.541806,97435300
SAN,2021-05-01,3.81,4.22,3.73,4.21,3.913649,102895700
SAN,2021-06-01,4.25,4.38,3.86,3.91,3.634766,154405300
SAN,2021-07-01,3.92,3.96,3.4,3.67,3.41166,93819800
SAN,2021-08-01,3.69,3.94,3.58,3.69,3.430252,78907600
SAN,2021-09-01,3.76,3.78,3.34,3.62,3.36518,75051100
SAN,2021-10-01,3.63,3.96,3.59,3.79,3.523213,82015200
SAN,2021-11-01,3.84,3.92,3.07,3.11,2.933529,75126000
SAN,2021-12-01,3.18,3.33,2.96,3.29,3.103315,194263100
SAN,2022-01-01,3.31,3.69,3.28,3.52,3.320264,152178700
SAN,2022-02-01,3.55,4.01,3.3,3.36,3.169343,139000900
SAN,2022-03-01,3.3,3.58,2.77,3.38,3.188209,216571900
SAN,2022-04-01,3.49,3.52,2.85,2.88,2.71658,111816600
SAN,2022-05-01,2.9,3.24,2.68,3.21,3.087306,139526900
SAN,2022-06-01,3.21,3.24,2.66,2.8,2.692977,153654500
SAN,2022-07-01,2.76,2.83,2.28,2.47,2.375591,165409500
SAN,2022-08-01,2.46,2.72,2.37,2.41,2.317884,107753200
