Stock,Date,Open,High,Low,Close,Adj Close,Volume
SHEL,2010-01-01,60.110001,62.700001,55.271,55.389999,27.081429,28596086
SHEL,2010-02-01,56.150002,57.389999,53.23,54.740002,26.763624,30227310
SHEL,2010-03-01,54.91,60.259998,54.650002,57.860001,28.72587,27169445
SHEL,2010-04-01,58.419998,63.110001,58.200001,62.75,31.153625,38753239
SHEL,2010-05-01,62.060001,62.470001,49.98,52.400002,26.015144,54974720
SHEL,2010-06-01,52.580002,55.486,50.139999,50.220001,25.28631,55771423
SHEL,2010-07-01,49.84,56.990002,49.16,55.419998,27.904568,36147600
SHEL,2010-08-01,57.25,58.599998,52.23,53.049999,26.711241,32509704
SHEL,2010-09-01,54.540001,61.580002,54.41,60.299999,30.803551,34736499
SHEL,2010-10-01,61.619999,65.07,60.459999,64.93,33.168732,48285167
SHEL,2010-11-01,65.339996,68.550003,59.990002,60.669998,30.992558,43974887
SHEL,2010-12-01,61.959999,67.309998,61.889999,66.779999,34.544624,32204770
SHEL,2011-01-01,67.169998,71.25,65.300003,70.989998,36.722424,46312945
SHEL,2011-02-01,72.540001,73.849503,67.480003,72.25,37.374203,61256626
SHEL,2011-03-01,72.139999,73.540001,65.779999,72.860001,38.146725,51319010
SHEL,2011-04-01,72.760002,77.650002,70.32,77.480003,40.565582,36240835
SHEL,2011-05-01,77.830002,77.970001,67.410004,71.43,37.398041,52467784
SHEL,2011-06-01,71.300003,71.419998,66.900002,71.129997,37.67086,44422761
SHEL,2011-07-01,70.989998,75.559998,70.260002,73.559998,38.95779,61644560
SHEL,2011-08-01,74.07,74.169998,59.849998,67.050003,35.510059,98582378
SHEL,2011-09-01,66.959999,67.775002,60.040001,61.52,32.968605,75543918
SHEL,2011-10-01,60.459999,74.050003,57.967499,70.910004,38.000732,67895649
SHEL,2011-11-01,68.150002,72.029999,64.730003,70,37.513054,52494730
SHEL,2011-12-01,69.470001,73.5,69.129997,73.089996,39.647701,46200809
SHEL,2012-01-01,73.089996,74.519997,68.360001,71.360001,38.709251,61645685
SHEL,2012-02-01,71.239998,74.089996,71,73.089996,39.647701,55824043
SHEL,2012-03-01,72.949997,73.75,69.135002,70.129997,38.484932,42850802
SHEL,2012-04-01,69.620003,71.730003,66.599998,71.540001,39.258698,62574689
SHEL,2012-05-01,71.589996,72.07,61.16,62.18,34.122246,49997806
SHEL,2012-06-01,61.080002,68.339996,60.619999,67.43,37.476059,59568778
SHEL,2012-07-01,67.790001,69.889999,66.510002,68.199997,37.903999,41671722
SHEL,2012-08-01,68.379997,71.489998,67.900002,69.970001,38.88773,41204669
SHEL,2012-09-01,69.970001,73.959999,69,69.410004,39.048607,41069168
SHEL,2012-10-01,69.639999,70.580002,67.129997,68.480003,38.52541,37766638
SHEL,2012-11-01,69.75,70.610001,64.169998,66.970001,37.675907,35422654
SHEL,2012-12-01,66.980003,69.93,66.629997,68.949997,39.287422,28408572
SHEL,2013-01-01,68.949997,72.995003,68.349998,70.519997,40.181999,41397108
SHEL,2013-02-01,70.260002,70.919998,64.529999,65.650002,37.407093,62270530
SHEL,2013-03-01,65.550003,67.099998,64.510002,65.160004,37.605175,58257222
SHEL,2013-04-01,65.199997,68.18,63.349998,67.970001,39.226894,67822366
SHEL,2013-05-01,68.650002,69.940002,66.25,66.370003,38.303493,44285597
SHEL,2013-06-01,66.379997,66.919998,62.759998,63.799999,37.301601,51364106
SHEL,2013-07-01,64.150002,68.82,62.650002,68.349998,39.961823,42292589
SHEL,2013-08-01,64.82,66.379997,63.080002,64.589996,37.763493,51472554
SHEL,2013-09-01,64.589996,66.559998,64.370003,65.68,38.942226,40983661
SHEL,2013-10-01,65.379997,70.190002,63.27,66.68,39.53513,60360421
SHEL,2013-11-01,66.68,68.470001,65.040001,66.699997,39.546989,37235745
SHEL,2013-12-01,66.330002,71.480003,65.580002,71.269997,42.838184,44905257
SHEL,2014-01-01,71.269997,72.910004,69.059998,69.099998,41.533859,80422178
SHEL,2014-02-01,68.690002,74.169998,67.75,72.870003,43.799892,40928008
SHEL,2014-03-01,72.050003,73.610001,70.629997,73.059998,44.48032,39838477
SHEL,2014-04-01,73.440002,79.559998,72.940002,78.739998,47.938412,46655094
SHEL,2014-05-01,79.400002,80.830002,78.150002,78.599998,47.85318,55799817
SHEL,2014-06-01,78.980003,82.860001,78.278397,82.370003,50.746422,32978344
SHEL,2014-07-01,82.900002,83.419998,80.129997,81.830002,50.413754,29684575
SHEL,2014-08-01,81.279999,82.260002,78.720001,80.970001,49.883911,33911019
SHEL,2014-09-01,80.970001,80.970001,75.769997,76.129997,47.460171,29913974
SHEL,2014-10-01,75.489998,75.769997,65.68,71.790001,44.75457,76146826
SHEL,2014-11-01,70.879997,72,66.290001,66.410004,41.400627,48794166
SHEL,2014-12-01,66.75,69.5,60.84,66.949997,42.296291,80307593
SHEL,2015-01-01,66.949997,67.160004,60.669998,61.450001,38.821617,101021548
SHEL,2015-02-01,62.57,67.157997,62.060001,65.370003,41.298119,75303111
SHEL,2015-03-01,64.879997,64.940002,56.82,59.650002,38.22826,84866224
SHEL,2015-04-01,60.450001,63.971901,58.709999,63.43,40.650776,83102005
SHEL,2015-05-01,63.32,64.459999,59.357201,59.720001,38.273129,57137756
SHEL,2015-06-01,59.18,59.991001,56.5,57.009998,37.084103,68635364
SHEL,2015-07-01,57,58.490002,53.755001,57.48,37.389824,98529561
SHEL,2015-08-01,57.52,59.16,48.77,52.919998,34.423618,93375233
SHEL,2015-09-01,51.080002,52.259998,45.810001,47.389999,31.324739,91960983
SHEL,2015-10-01,49.119999,56.404999,47.880001,52.459999,34.676018,81297916
SHEL,2015-11-01,52.439999,55.220001,47.790001,49.759998,32.891323,79677127
SHEL,2015-12-01,49.959999,50.73,43.259998,45.790001,30.825243,101616550
SHEL,2016-01-01,45.790001,45.915001,35.799999,43.93,29.573109,154407204
SHEL,2016-02-01,43.02,46.5,41.049999,45.48,30.616552,122896048
SHEL,2016-03-01,46.02,50.32,45.580002,48.450001,33.305504,108729812
SHEL,2016-04-01,46.93,53.740002,46.415501,52.889999,36.357658,109567508
SHEL,2016-05-01,52.959999,53.009998,48.349998,48.490002,33.332996,94957167
SHEL,2016-06-01,48.150002,55.220001,47.98,55.220001,38.674545,121033560
SHEL,2016-07-01,55.220001,56.290001,51.02,51.790001,36.272259,107422478
SHEL,2016-08-01,50.619999,51.360001,48.724998,48.900002,34.248196,102879166
SHEL,2016-09-01,48.669998,51.32,46.57,50.07,35.736526,107882198
SHEL,2016-10-01,50.41,52.419998,49.34,49.810001,35.550968,72846636
SHEL,2016-11-01,51.709999,52.200001,48.07,51.099998,36.471684,99958285
SHEL,2016-12-01,52.060001,54.98,51.441299,54.380001,39.53632,77197923
SHEL,2017-01-01,54.380001,56.389999,53.549999,54.389999,39.543587,65465300
SHEL,2017-02-01,54.5,55.220001,51.5438,51.889999,37.725994,75922315
SHEL,2017-03-01,52.139999,53.330002,50.319,52.73,39.010159,69289703
SHEL,2017-04-01,52.599998,53.759998,51.080002,52.189999,38.610661,67873251
SHEL,2017-05-01,52.279999,56.255001,51.849998,54.41,40.253036,77604181
SHEL,2017-06-01,54.240002,54.68,51.911999,53.189999,40.020325,65074685
SHEL,2017-07-01,53.41,56.84,52.435001,56.529999,42.533356,61436801
SHEL,2017-08-01,56.610001,57.75,54.2701,55.18,41.517609,67547162
SHEL,2017-09-01,55.110001,60.66,54.950001,60.580002,46.34148,76320377
SHEL,2017-10-01,60.189999,63.275002,60.049999,63.029999,48.215633,84443204
SHEL,2017-11-01,62.919998,65.830002,61.455002,64.120003,49.04945,102962418
SHEL,2017-12-01,63.849998,66.919998,63.099899,66.709999,51.801655,61752596
SHEL,2018-01-01,66.709999,72.43,66.709999,70.239998,54.54277,55900063
SHEL,2018-02-01,68.900002,69.690002,61.014999,63.27,49.130432,86544824
SHEL,2018-03-01,63.150002,65.129997,61.299999,63.810001,50.270638,77783771
SHEL,2018-04-01,63.720001,71.690002,62.330002,69.900002,55.068447,79703518
SHEL,2018-05-01,69.730003,73.855003,67.111,69.580002,54.816349,80091797
SHEL,2018-06-01,69.860001,70.714996,66.355003,69.230003,55.265049,83011433
SHEL,2018-07-01,68.379997,71.849998,67.260002,68.370003,54.578529,58179391
SHEL,2018-08-01,67.779999,67.800003,61.610001,65.230003,52.071922,65562293
SHEL,2018-09-01,65.230003,70.089996,62.459999,68.139999,55.166248,60442997
SHEL,2018-10-01,68.940002,69.599998,60.529999,63.189999,51.158718,104027119
SHEL,2018-11-01,63.529999,64.555,58.549999,60.400002,48.899925,74771261
SHEL,2018-12-01,61.93,62.119999,55.040001,58.27,47.909664,83981485
SHEL,2019-01-01,58.27,62.34,57.720001,61.73,50.754482,65799697
SHEL,2019-02-01,62.259998,63.976501,61.970001,62.209999,51.149139,51515285
SHEL,2019-03-01,62.23,64.735001,60.299999,62.59,52.240417,55981793
SHEL,2019-04-01,63.419998,65.410004,62.59,63.529999,53.024986,48913818
SHEL,2019-05-01,63.5,64.919998,61.669998,61.810001,51.589401,57045327
SHEL,2019-06-01,62.369999,66.480003,61.810001,65.07,55.109016,44519010
SHEL,2019-07-01,66.360001,66.360001,62.439999,62.889999,53.262737,43119977
SHEL,2019-08-01,59.560001,60,54.779999,55.599998,47.088696,72920183
SHEL,2019-09-01,55.599998,59.32,54.560001,58.849998,50.686253,59810935
SHEL,2019-10-01,58.669998,60.195,56.130001,57.970001,49.928333,58452907
SHEL,2019-11-01,58.220001,60.509998,57.279999,57.490002,49.514915,60782350
SHEL,2019-12-01,57.630001,59.525002,56.029999,58.98,51.602772,56858792
SHEL,2020-01-01,58.98,61.169998,51.830002,52.150002,45.627079,80399237
SHEL,2020-02-01,51.380001,53.09,42.110001,44.029999,38.52272,116071450
SHEL,2020-03-01,44.060001,46.02,21.254999,34.889999,31.080862,290616945
SHEL,2020-04-01,36.580002,40.349998,31.959999,33.130001,29.513012,187910239
SHEL,2020-05-01,31.85,34.82,28.98,31.950001,28.461838,136602113
SHEL,2020-06-01,32.150002,39.330002,31.865,32.689999,29.424391,126136010
SHEL,2020-07-01,32.82,34.130001,29.549999,29.809999,26.832094,122662672
SHEL,2020-08-01,29.959999,33.189999,29.450001,29.68,26.715082,99225505
SHEL,2020-09-01,29.200001,29.610001,25.07,25.17,22.878344,157758105
SHEL,2020-10-01,24.629999,27.195,23.07,25.549999,23.223743,143686677
SHEL,2020-11-01,26.33,37.224998,25.9,33.84,30.758963,129394099
SHEL,2020-12-01,35.23,38.869999,34.709999,35.139999,32.283081,104449470
SHEL,2021-01-01,35.139999,41.849998,35.139999,36.889999,33.890797,93979636
SHEL,2021-02-01,36.889999,43.189999,35.73,41.029999,37.694214,108306146
SHEL,2021-03-01,41.080002,44.5,38.790001,39.209999,36.320377,112508806
SHEL,2021-04-01,39.650002,40.580002,37.730999,38,35.199547,107314026
SHEL,2021-05-01,38.040001,41.450001,37.985001,38.610001,35.764591,106716049
SHEL,2021-06-01,39.330002,42.380001,38.880001,40.400002,37.753494,116485368
SHEL,2021-07-01,41.34,41.669998,36.32,40.619999,37.959084,100484645
SHEL,2021-08-01,41.040001,41.880001,37.965,39.759998,37.155418,94683717
SHEL,2021-09-01,39.970001,45.41,39.009998,44.57,42.133461,118708088
SHEL,2021-10-01,45.07,50.75,44.75,45.919998,43.40966,145422354
SHEL,2021-11-01,46.369999,46.5,41.459999,42.040001,39.741772,99897504
SHEL,2021-12-01,43.02,45.119999,41.23,43.400002,41.459671,97655024
SHEL,2022-01-01,44.040001,52.09,43.959999,51.400002,49.102005,109350161
SHEL,2022-02-01,51.59,56.130001,50.68,52.389999,50.047745,87679303
SHEL,2022-03-01,52.200001,55.93,48.27,54.93,52.47419,132636536
SHEL,2022-04-01,54.950001,58.68,52.240002,53.43,51.041248,90446927
SHEL,2022-05-01,52.779999,60.849998,52.310001,59.220001,56.572392,113003590
SHEL,2022-06-01,59.630001,61.674999,48.639999,52.290001,50.383434,119215557
SHEL,2022-07-01,51.57,53.5,44.900002,53.380001,51.433693,93921852
SHEL,2022-08-01,52.799999,56.18,50.810001,52.98,51.048271,110384477
SHEL,2022-09-01,52.799999,54.564999,46.741001,49.759998,48.401176,116834620
SHEL,2022-10-01,51.450001,56.730701,49.724201,55.630001,54.110882,118207225
SHEL,2022-11-01,56.919998,58.740002,53.035,58.470001,56.873329,90606045
SHEL,2022-12-01,58.689999,58.970001,54.400002,56.950001,55.89201,93979738
