Stock,Date,Open,High,Low,Close,Adj Close,Volume
UL,2010-01-01,32.220001,32.41,30.440001,30.52,19.203844,19024900
UL,2010-02-01,30.469999,31.26,28.219999,29.440001,18.524292,28915000
UL,2010-03-01,29.49,30.360001,28.200001,29.280001,18.597084,32822600
UL,2010-04-01,30.139999,30.75,29.049999,30.1,19.117905,24332800
UL,2010-05-01,30.209999,30.290001,25.74,27.040001,17.17436,34902100
UL,2010-06-01,27.139999,28.83,26.73,26.73,17.144949,30097400
UL,2010-07-01,26.870001,30.26,26.440001,28.629999,18.363628,26628500
UL,2010-08-01,28.82,29.4,25.9,26.559999,17.035912,30634900
UL,2010-09-01,26.969999,29.48,26.74,29.1,18.852259,26314100
UL,2010-10-01,29.219999,29.629999,28.139999,29.02,18.800426,37150600
UL,2010-11-01,28.98,31.459999,27.719999,27.959999,18.113708,29041700
UL,2010-12-01,28.24,31.07,28.219999,30.879999,20.196213,24390500
UL,2011-01-01,31.23,31.23,28.870001,29.01,18.97319,33495100
UL,2011-02-01,29.629999,30.1,28.82,29.700001,19.424461,40425100
UL,2011-03-01,29.860001,30.790001,28.450001,30.620001,20.221684,31898900
UL,2011-04-01,30.48,33.02,30.299999,32.57,21.509478,30837900
UL,2011-05-01,32.869999,33.060001,31.41,32.59,21.522682,36548400
UL,2011-06-01,32.709999,32.77,30.959999,32.389999,21.606276,27499600
UL,2011-07-01,32.18,33.400002,31.4,32.060001,21.386141,26293400
UL,2011-08-01,32.419998,34.549999,30.389999,33.740002,22.506813,60583700
UL,2011-09-01,33.669998,33.990002,29.73,31.190001,21.015417,39167700
UL,2011-10-01,30.83,34.279999,30.18,33.650002,22.672941,30571300
UL,2011-11-01,32.700001,33.950001,30.889999,33.630001,22.659458,25118300
UL,2011-12-01,33.490002,33.669998,31.93,33.52,22.793856,19120100
UL,2012-01-01,33.919998,34.259998,31.360001,32.389999,22.025448,23160200
UL,2012-02-01,33.060001,33.23,31.65,32.470001,22.079851,21503600
UL,2012-03-01,32.75,33.43,31.860001,33.049999,22.679808,22184200
UL,2012-04-01,33.23,34.740002,31.9,34.32,23.551313,24923900
UL,2012-05-01,34.34,34.77,31.280001,31.58,21.671051,30355600
