Stock,Date,Open,High,Low,Close,Adj Close,Volume
VOLVF,2010-01-01,8.94,9.11,8.22,8.4,8.072606,19300
VOLVF,2010-02-01,8.65,9.15,8.01,8.3,7.976502,4000
VOLVF,2010-03-01,8.3,10.15,8.3,10.15,9.754397,1900
VOLVF,2010-04-01,10.15,12.49,10.15,12.45,11.964754,29700
VOLVF,2010-05-01,12.45,12.45,11.4,11.4,10.955678,800
VOLVF,2010-06-01,11.4,11.6,11.4,11.6,11.147884,3100
VOLVF,2010-07-01,11.6,12.6,11.6,12.6,12.108909,20600
VOLVF,2010-08-01,12.6,12.87,12.6,12.87,12.368385,400
VOLVF,2010-09-01,12.87,14.71,12.87,14.71,14.136671,260300
VOLVF,2010-10-01,14.71,14.71,13.37,13.37,12.848897,2000
VOLVF,2010-11-01,13.37,14.83,13.37,14.1,13.550446,64900
VOLVF,2010-12-01,14.1,17.049999,14.1,17,16.337416,4200
VOLVF,2011-01-01,17,17.799999,16.35,17.75,17.058184,5200
VOLVF,2011-02-01,17.75,17.75,16.379999,16.379999,15.741578,32200
VOLVF,2011-03-01,16.379999,16.940001,16.379999,16.940001,16.279755,500
VOLVF,2011-04-01,16.940001,19.700001,16.940001,19.700001,18.932182,6000
VOLVF,2011-05-01,19.700001,19.700001,18.200001,18.200001,17.490644,800
VOLVF,2011-06-01,18.200001,18.200001,15.74,15.74,15.126527,2300
VOLVF,2011-07-01,15.74,17.530001,15.74,16,15.37639,800
VOLVF,2011-08-01,16,16,11.75,12.53,12.041636,1000
VOLVF,2011-09-01,12.53,12.53,9.55,9.55,9.177784,3400
VOLVF,2011-10-01,9.55,11.15,9.55,11.15,10.715423,300
VOLVF,2011-11-01,11.15,12.04,11.15,12.04,11.570736,41300
VOLVF,2011-12-01,12.04,12.04,10.51,10.51,10.100368,3000
VOLVF,2012-01-01,10.51,11.7,10.51,11.7,11.243988,600
VOLVF,2012-02-01,11.7,14.47,11.7,14.12,13.569667,1100
VOLVF,2012-03-01,14.12,14.53,14.12,14.53,13.963686,700
VOLVF,2012-04-01,14.7,14.92,12.54,13.66,13.127596,13200
VOLVF,2012-05-01,13.66,13.66,12,12,11.532294,8400
VOLVF,2012-06-01,12,12,10.62,10.62,10.206079,3600
VOLVF,2012-07-01,10.62,11.12,10.62,11.12,10.686591,500
VOLVF,2012-08-01,11.12,13.06,11.12,12.84,12.339557,24700
